Time,M0 - 3%,M1 - 3%,M2 - 1%,M3 - 1%,M4 - 6%,M5 - 6%,M6 - 8%,M7 - 8%
4.44E-05,-0.06246661,0.08083513,0.03326491,0.137228901,0.041179232,0.159252898,0.067960987,-0.198490402
0.027833333,-0.023916041,-0.04806517,0.028217115,0.140506346,0.050326772,0.119867114,0.046779457,-0.122789631
0.055622222,-0.025896011,-0.031570184,0.051761393,0.120357207,0.072196727,0.127949801,0.045690774,-0.131468127
0.083416667,-0.045486293,-0.011333507,0.048369456,0.125501961,0.045266253,0.155446114,0.038614028,-0.137033039
0.111213889,-0.030780287,-0.006179158,0.052414178,0.135892623,0.045931884,0.173096622,0.037622164,-0.152094946
0.139022222,-0.028232548,-0.049536422,0.01781077,0.133834008,0.061044815,0.178383274,0.040220398,-0.145961478
0.166830556,-0.028600594,-0.023796426,0.025480415,0.137739497,0.061975006,0.171918207,0.047309738,-0.162361119
0.194619444,-0.022313642,0.049538121,0.024897768,0.136012454,0.060764297,0.179225102,0.044594023,-0.163207464
0.222413889,-0.025301641,0.149422686,0.072963874,0.136574343,0.081015858,0.183327579,0.047957984,-0.127614006
0.250205556,-0.019798818,0.048463812,0.066537132,0.135413458,0.077312512,0.180266862,0.038806655,-0.116956441
0.278016667,-0.022188099,0.042240493,0.063643687,0.140313896,0.078876409,0.177537926,0.029368563,-0.117959671
0.305825,-0.010048294,0.084026521,0.062563077,0.137611598,0.077372385,0.180008547,0.036836782,-0.112525085
0.333633333,-0.009888347,0.137000134,0.050028,0.139033138,0.074891964,0.173719895,0.05131421,-0.13341125
0.361444444,-0.008918698,0.082105016,0.059659446,0.139084464,0.081326938,0.177901565,0.042064779,-0.111075563
0.389252778,-0.006106911,0.035363163,0.055234329,0.136769883,0.072658124,0.177842415,0.051712534,-0.115629072
0.417061111,-0.012306477,0.135959007,0.065118661,0.138461339,0.073763048,0.169079383,0.047528806,-0.106349938
0.444872222,-0.003847913,0.158500834,0.055572109,0.133606998,0.074144162,0.168521005,0.059553647,-0.117060093
0.472669444,-0.010161856,0.000155732,0.060746126,0.137523006,0.079948439,0.173796466,0.031692824,-0.113834572
0.500455556,-0.012612223,0.028806048,0.066736644,0.138919904,0.076987678,0.175204991,0.05205977,-0.118260802
