Time,M0 - 0%,M1 - 0%,M2 - 1%,M3 - 1%,M4 - 10%,M5 - 10%,M6 - 100%,M7 - 100%
4.44E-05,0.070729218,-0.019893332,-0.10258977,0.00871998,0.112684844,-0.036038201,0.001606839,-0.227732316
0.027852778,0.077224576,-0.061388869,-0.030306708,0.052386104,0.137172069,0.026866684,-0.012128658,-0.150284571
0.055644444,-0.017667742,-0.0271061,-0.059059177,0.046790484,0.114529521,0.198694403,0.025570032,-0.138892908
0.083452778,-0.009577509,-0.090074115,0.029100556,0.05775609,0.073957025,-0.043132225,-0.012490036,-0.17800993
0.111261111,-0.040588291,-0.062126081,-0.010493425,0.062854035,0.089268764,0.034409141,0.000758929,-0.179632152
0.13905,-0.047854509,-0.060616889,0.025922301,0.069933749,0.091055635,0.092296076,-0.005143207,-0.17525802
0.166861111,-0.024511961,-0.040893503,0.028268989,0.069318337,0.076659103,0.066592147,0.009019411,-0.172634069
0.194672222,-0.012068234,-0.05963597,0.048717408,0.065913766,0.079535455,0.144232409,-0.001072719,-0.178583879
0.222480556,-0.027209867,-0.053622125,0.020575335,0.06551976,0.079514817,0.038120847,0.01833802,-0.164339239
0.250277778,0.002073561,-0.027650755,0.05012407,0.064991604,0.075265639,-0.120184806,0.032286823,-0.178161869
0.278072222,0.036903808,-0.035106379,0.031455158,0.069540981,0.08357083,0.300544674,-0.005964954,-0.181514984
0.305869444,0.035073099,-0.062258018,0.016933242,0.05232238,0.08670535,0.004239867,0.005538938,-0.180579712
0.333655556,0.037453245,0.008183347,0.026327723,0.049406571,0.087444833,0.072300167,0.004691272,-0.155580626
0.361447222,0.003459316,0.018384089,-0.024471522,0.036711725,0.082750759,0.077883,0.018081797,-0.180653124
0.389241667,0.063421313,-0.045521624,0.017680069,0.022669979,0.084920989,0.069292699,-0.006130109,-0.146977286
0.41705,0.055775284,-0.067031018,0.043461804,0.021881566,0.081674382,0.075332806,0.015969534,-0.179216884
0.444836111,0.061391915,-0.075337142,-0.006844207,0.027553045,0.081879843,0.010543955,-0.017880849,-0.151660699
0.472636111,0.05444896,-0.056857277,0.069156188,0.029560781,0.078437721,0.068523388,-0.014285126,-0.137535945
0.500427778,0.057117391,-0.019543165,-0.017299136,0.036989949,0.081583,0.022190013,-0.007444087,-0.175362729
0.528238889,0.075964958,-0.047350385,0.401346686,0.018773925,0.081432805,-0.02648997,-0.012850557,-0.165084075
0.556036111,-0.043557042,-0.029036631,-0.009289648,0.030411579,0.082548539,0.066473381,0.024548527,-0.165141772
0.583847222,-0.052281434,-0.080409931,0.172750851,-0.001428215,0.084238163,0.007173869,0.037929352,-0.165484097
0.611652778,-0.026115694,-0.053272074,0.014894672,0.024929494,0.084974395,0.028142827,0.020166391,-0.17836717
