Time,M0 - SGy103-10 - 0%,M1 - SGy103-16 - 0%,M2 - SGy103-10 - 1%,M3 - SGy103-16 - 1%,M4 - SGy103-10 - 10%,M5 - SGy103-16 - 10%,M6 - SGy103-10 - 100%,M7 - SGy103-16 - 100%
4.44E-05,-0.02933451,-0.03051597,0.055869178,0.08442352,0.040341007,0.046708039,-0.007408897,-0.085158203
0.027858333,-0.043275211,-0.046953049,0.009501923,0.043639276,0.075323712,0.039155703,0.052844044,-0.084086587
0.055658333,0.061983576,0.017881773,-0.002160542,0.025067678,0.063276214,0.114061929,0.046973428,-0.135760162
0.083458333,0.016475576,-0.004132175,0.020501696,0.024740492,0.075895989,0.045987568,0.027977301,-0.167333751
0.11125,0.013095591,-0.011084002,0.045635541,0.033149379,0.080502223,0.078744915,0.043507151,-0.129714194
0.139047222,-0.001607088,-0.014202895,0.038066234,0.038997476,0.099867732,0.07805665,-0.018182838,-0.155719136
0.166847222,0.053697629,-0.00876182,0.011804805,0.043081082,0.074162751,0.063530005,0.033494193,0.081981651
0.194644444,0.010704977,-0.004658127,0.010146881,0.040055833,0.072803875,0.08447332,0.058403832,-0.120994595
0.222452778,0.008316716,-0.026655871,0.03877964,0.038787125,0.061937728,0.059328332,0.030348367,-0.043737198
0.250263889,0.063768039,-0.057528599,0.025968803,0.041594916,0.083957539,0.019227866,-0.027465493,-0.096414331
0.278055556,0.066768806,0.000909894,0.030204436,0.040670418,8.00E-02,0.062001895,0.077330776,-0.083795115
0.305852778,0.04108565,-0.053000836,0.022815853,0.039896721,0.074929388,0.099124568,0.157717326,-0.105435598
0.333658333,0.037464095,-0.033911281,0.018589671,0.034146759,0.094891205,0.04322734,0.058778144,-0.086042944
0.361469444,0.058374556,-0.045875069,0.029042606,0.037425115,0.098050338,0.063517884,0.089846831,-0.138179446
0.389272222,-0.003431919,0.03546384,0.037344107,0.034590583,0.080567967,0.034930257,0.019836655,-0.057521699
0.417080556,0.069920725,0.002371935,-0.000899133,0.040826136,0.107992441,0.108277216,0.057718751,-0.104159444
0.444877778,-0.021775435,-0.036282496,0.021254932,0.031844425,0.110279222,0.616217547,0.069076205,-0.144020062
0.472688889,0.019092391,0.044462183,0.035872382,0.039144442,0.118643602,0.050851431,0.028298871,-0.047885222
0.500486111,0.064758263,0.086665276,0.021409552,0.037924171,0.09204104,0.099656326,0.065079032,-0.11992587
0.528294444,-0.009979867,7.70E-04,0.049611031,0.035716498,0.102186464,0.192028126,0.054222352,-0.113122567
0.556088889,-0.006045437,0.001464652,-0.002529243,0.032160071,0.068488962,0.113082712,0.091767657,-0.093510954
0.583894444,0.084850705,-0.019580782,0.040647471,0.045096601,0.103506625,0.030144809,0.008458305,-0.087833776
0.611691667,-0.002935152,0.035075595,0.034587441,0.039143817,0.094570354,0.083711205,0.03698536,-0.10475176
0.639508333,0.050997223,0.052710925,0.039808336,0.040143812,0.090106344,-0.078488472,-0.000876831,-0.124667913
