Time,M0 - 3%,M1 - 3%,M2 - 1%,M3 - 1%,M4 - 6%,M5 - 6%,M6 - 10%,M7 - 10%
4.44E-05,0.012567607,-0.028341794,-0.008656738,0.093178939,0.078904573,0.03035021,0.028821639,-0.100597551
0.027841667,0.047850346,-0.013496985,0.157153846,0.077595957,0.052717554,0.044467756,0.040464187,-0.122371346
0.055633333,0.030573437,-0.019203591,-0.028302547,0.022137308,0.108037845,0.069761103,0.031585,-0.133578143
0.083433333,0.046290749,-0.016155291,0.054989389,0.032116625,0.047640395,0.071403706,0.012817374,-0.231041843
0.111222222,0.045993215,-0.020831043,0.09793598,0.053848324,0.082119131,0.046622791,0.065783376,-0.251329821
0.139030556,0.053965956,-0.023030629,0.082534584,0.029746343,0.067418156,0.047226516,0.344647677,-0.200807103
0.166825,0.036723612,-0.002555192,0.047337933,0.017379108,0.045689271,0.069934767,0.07961066,-0.202175654
0.194627778,0.021917432,0.008760237,0.098473186,0.044299854,0.018311817,0.063376024,0.258293947,-0.223940133
0.222416667,0.032060215,0.010797432,-0.020974166,0.073704733,0.047968582,0.063110303,0.320840915,-0.23039901
0.250208333,0.014995561,-0.028140501,-0.030026089,0.04580748,0.057355249,0.048994819,0.037409973,-0.208550394
0.278019444,0.035900561,-0.038601502,-0.026439153,0.04595351,5.32E-02,0.049413617,0.077889558,-0.201580976
0.305811111,-0.01211516,0.006154937,0.034888906,0.039244798,0.050565186,0.054933962,-0.042358103,-0.174335666
0.333616667,0.038812939,0.017034405,0.01605421,0.048549859,0.062528815,0.069994556,0.122016952,-0.182716173
0.361419444,0.030995734,-0.052531884,0.05330028,0.034917816,0.048301389,0.053545589,0.054969818,-0.193528511
0.389227778,0.100414522,-0.044403653,-0.013721188,0.047138787,0.063325935,0.051189279,0.061535425,-0.197436602
0.417016667,0.06190902,-0.018282852,0.085960351,0.045407591,0.087364184,0.066737107,0.070811235,-0.172019877
0.444825,0.02430401,-0.026213157,0.042350184,0.033364908,0.066674851,0.054802412,0.115517308,-0.185817883
0.472616667,0.024119911,-0.006362386,0.015033666,0.032979994,0.07239007,0.067767135,-0.021735086,-0.188634736
0.500425,0.031607613,0.001521117,0.047022696,0.029757939,0.053904089,0.062828898,0.063155289,-0.190110765
0.528211111,-0.011306293,-6.46359E-05,0.055553127,0.033835171,0.057171863,0.057123965,0.0332078,-0.214434493
0.556019444,-0.023248186,-0.015331944,0.051665352,0.040739576,0.088818488,0.059779018,0.081005508,-0.209703764
0.583827778,-0.008219513,0.009752357,0.07555584,0.032978409,0.086056225,0.063422808,0.027133702,-0.212946578
0.611630556,0.007362045,-0.003959663,0.027622333,0.028964512,0.088170553,0.037347042,0.042513082,-0.21117118
0.639416667,-0.012774515,0.013393594,0.064737707,0.027512137,0.047804732,0.058095362,0.044491044,-0.224721349
0.667211111,0.056836199,0.011173723,0.027642066,0.02249649,0.041938445,0.065137024,-0.035818621,-0.245952434
0.695019444,0.020625827,-0.029999006,0.103035835,0.017806796,0.071817331,0.043864311,0.056238207,-0.232662239
0.722825,0.055676571,-0.025359469,0.049054799,0.015344012,0.068837474,0.065217087,0.027689625,-0.186646859
0.750636111,0.03017738,-0.018488256,0.114935353,0.035046842,0.081119341,0.05167378,0.115210417,-0.185937128
0.77845,0.031317702,-0.024764279,0.034978125,0.03339067,0.010482417,0.056231611,0.030474915,-0.194425608
0.806241667,0.034639432,0.011432815,0.037877503,0.025229511,0.070358725,0.043181702,0.12396762,-0.191702453
0.83405,0.032881846,-0.02864927,0.03474473,0.022173462,0.05346501,0.067377048,0.340542633,-0.242008592
0.861861111,0.03724306,-0.025884828,0.052204778,0.021875702,0.017974135,0.053505955,0.068350876,-0.196093205
0.889663889,0.044499807,-0.028981378,0.032282823,0.044396498,0.063354991,0.063853229,0.034705971,-0.190308029
0.917475,0.042087122,-0.030305233,0.042073804,0.039600192,0.092958114,0.057970256,0.086104061,-0.206780955
0.945283333,0.023882685,-0.002950359,0.045117291,0.047802349,0.081538908,0.042784226,0.038460511,-0.229871705
0.973072222,0.061307234,0.002086661,0.068683157,0.05146882,0.029853219,0.051741745,0.030444211,-0.237530972
1.000872222,0.00029376,-0.037342506,0.065247444,0.042747459,0.069159356,0.038051453,0.069286748,-0.239991724
1.028683333,0.047373271,-0.024501093,0.043077549,0.036567331,0.016491528,0.045393087,0.059824876,-0.223686729
1.056480556,0.033072774,-0.0248311,0.05165377,0.068076817,0.057457253,0.048087167,0.023169879,-0.213113727
1.084272222,-0.04325384,-0.020612702,0.056276628,0.064349288,0.041794711,0.060230534,0.03970692,-0.190671146
1.112086111,0.010202635,-0.011943651,0.07103347,0.060029763,0.084565697,0.043945947,0.045922415,-0.177302354
1.139886111,-0.006004225,-0.020847229,0.059711726,0.069319751,-0.000216938,0.047890112,0.039297054,-0.174715076
1.167691667,-0.009754743,-0.014143901,0.053920708,0.064801334,0.05711288,0.039703803,0.02921285,-0.175145354
1.1955,-0.006816615,-0.008665658,0.049856604,0.064914353,0.022885303,0.047964832,0.043211579,-0.083680851
1.223297222,0.01111199,-0.005137511,0.083895461,0.066027328,0.059409706,0.046177856,0.059525815,-0.074488448
1.251097222,0.046808983,-1.35E-02,0.098817687,0.068629543,0.089975023,0.043812044,0.119509407,-0.126792544
1.2789,0.033399135,0.006800111,0.094566037,0.058005626,0.030661286,0.049300758,0.091066132,-0.138169844
1.306708333,0.022185883,-0.031526005,0.069342104,0.058664953,0.079821797,0.046554167,0.070438501,-0.125976659
1.334497222,0.060775796,-0.010085161,0.065171065,0.033011367,0.085052016,0.052904022,0.034440842,-0.115607558
