Time,M0 - 3%,M1 - 3%,M2 - 1%,M3 - 1%,M4 - 6%,M5 - 6%,M6 - 8%,M7 - 8%
4.44E-05,-0.028342589,-0.004696984,0.023272614,-0.035082301,0.038431447,0.050116923,-0.001674359,-0.063005806
0.02785,-0.017111962,-0.011044895,0.142978702,0.015619626,0.015534436,0.015753738,0.006292304,-0.070512272
0.055652778,-0.031388526,-0.00335857,0.086534736,0.007948776,0.040174963,-0.009644963,0.032278525,-0.136355727
0.083461111,-0.09059342,0.020578867,-0.033023865,0.00602918,0.069233111,0.041713939,0.041592699,-0.223491528
0.111272222,-0.101403604,0.001499501,-0.05748977,-0.007466979,0.087336762,0.031753507,0.034743922,-0.095733851
0.139080556,-0.083351833,0.001809938,-0.066145405,0.005781445,0.058148502,0.040757092,0.04259839,-0.095666041
0.166888889,-0.076712548,-0.000921462,-0.06720594,0.013115908,0.092959399,0.038701572,0.052546778,-0.133742923
0.194688889,-0.083504111,0.003175733,-0.05547363,0.021580043,0.047039575,0.064508976,0.056016274,-0.117564585
0.222497222,-0.06288996,0.001364751,-0.054225715,0.030518951,0.031465642,0.04407394,0.053347463,-0.130310921
0.250288889,-0.08140913,-0.006698612,-0.034738996,0.036827209,0.020969957,0.020139182,0.054443875,-0.131187739
0.278080556,-0.084234092,0.002121369,-0.025508082,0.035173317,6.11E-05,0.029754255,0.052776018,-0.109021819
0.305886111,-0.075989294,-0.005947581,-0.040356914,0.046338878,-0.012945146,0.012789846,0.05483171,-0.119886443
0.333697222,-0.060011326,-0.007453397,-0.061991347,0.047788229,0.042236339,0.03601475,0.054578304,-0.138503833
0.361494444,-0.079284979,0.013731479,-0.053977537,0.044592678,0.007910002,0.001799527,0.054172656,-0.116769431
0.389291667,-0.063870049,-0.00406979,-0.055061586,0.020734666,0.008017308,0.025625505,0.054324461,-0.126287266
0.417086111,-0.06246916,0.008022839,-0.044388849,0.014565932,-0.011145619,0.011826634,0.05436581,-0.102841333
0.444872222,-0.080410594,-0.003165455,-0.049802952,0.001920839,-0.000301707,0.002216667,0.05148338,-0.097648735
0.472680556,-0.072676802,0.005946895,-0.048746437,-0.003541869,-0.009250942,-0.01888446,0.052824195,-0.112842154
0.500491667,-0.077424566,0.006049995,-0.042936321,-0.013382744,0.039571191,-0.005841742,0.053640833,-0.080721605
0.528280556,-0.063360041,0.002085478,-0.043743238,0.004003424,0.049861341,0.034186905,0.058105451,-0.077241686
0.556086111,-0.063931865,0.003500254,-0.040214207,0.011373245,0.053015192,0.032859135,0.055745613,-0.101466238
0.583897222,-0.064477791,0.003986166,-0.037988494,0.010276923,0.052317219,0.048071774,0.05512965,-0.121440531
0.611708333,-0.063180058,0.001607706,-0.036729464,0.03797345,0.045461983,0.031012321,0.058596401,-0.116067775
0.639511111,-0.078495923,0.002153579,-0.031576243,0.014873996,0.02721365,0.035559434,0.062413126,-0.133811566
0.667322222,-0.062540235,0.00918882,-0.029241246,0.005160293,0.046477037,0.043409549,0.055534487,-0.10915476
0.695133333,-0.079304822,-0.000363299,-0.025282796,0.004488089,-0.007332316,0.047255212,0.059354756,-0.103059035
