Time,M0 - 1000,M1 - 1000,M2 - 2000,M3 - 2000,M4 - 3000,M5 - 3000,M6 - 4000,M7 - 4000
4.44E-05,0.005273757,0.073018604,0.106723274,0.090913389,0.110995984,0.006605179,0.023550836,-0.15795571
0.027852778,0.054985147,-0.074811495,0.121582241,0.069270022,0.071317404,-0.012127408,0.090887401,-0.049312406
0.055661111,-0.003849066,0.064493164,0.090786148,0.023306383,0.092974278,0.18600123,0.023449575,-0.077285116
0.083472222,0.026291322,-0.067528717,0.080817111,0.071829527,0.123698567,0.095906481,0.064740887,-0.087680252
0.111275,0.033575227,0.228289141,0.113931682,0.089855388,0.121196616,0.115644063,0.116400444,-0.081282749
0.139077778,0.048015052,-0.082738755,0.12789508,0.090189392,0.066997743,0.091935596,0.102830105,-0.057489688
0.166872222,0.029460655,-0.037050048,0.11620128,0.083795365,0.096955899,0.120800937,0.094919527,-0.047634351
0.194666667,0.042863677,0.326005667,0.088695921,0.087066615,0.104906974,0.137544849,0.082485043,-0.081757836
0.222477778,0.053533351,0.014482639,0.103312018,0.095744715,0.080396482,0.151331595,0.101327344,-0.063872133
0.250286111,0.03899333,0.00775147,0.098444914,0.171903738,0.092220299,0.123544276,0.096247279,-0.055328777
0.278094444,0.046041694,0.055317991,0.124183198,0.091529249,0.106190319,0.099340231,0.124959924,-0.048005531
0.305905556,0.059240081,-0.013305963,0.13440001,0.136269595,0.129364443,0.104697102,0.099162667,-0.060138708
0.333713889,0.055153534,0.002594738,0.099833575,0.057039054,0.128456369,0.108960948,0.064562192,-0.062201302
0.361505556,0.037051702,0.046492358,0.104731806,0.07489115,0.125910896,0.1102087,0.069314089,-0.073261121
0.389308333,0.026954108,0.022179783,0.09749809,0.117229284,0.153682807,0.093625511,0.09091638,-0.079276255
0.4171,0.039442653,0.308083819,0.081108501,0.119696538,0.093105774,0.106323838,0.098535908,-0.049653319
0.444905556,0.054572434,0.001652567,0.081530133,0.115345488,0.087305886,0.090375017,0.151671105,-0.061120916
0.472702778,0.023877145,0.010569832,0.122294758,0.119288361,0.101202746,0.038747169,0.162072426,-0.067664926
0.500513889,0.051718022,-0.006219198,0.125718973,0.113612398,0.125699692,0.057129382,0.148195079,-0.067060512
0.528305556,0.044269351,-0.008039671,0.103381138,0.080083951,0.127896432,0.05711899,0.048967301,-0.074306185
0.556102778,0.054937094,0.010140498,0.129580547,0.068894322,0.177873423,0.056352037,0.039913402,-0.063025454
0.5839,0.031452984,0.068720418,0.128711181,0.007546544,0.163239227,0.208268979,0.049523574,-0.078163393
0.6117,0.058481584,0.059529806,0.114529532,0.074706114,0.108952921,0.111990768,0.04561204,-0.085541679
0.639511111,0.058152163,-0.029604668,0.085485429,0.06595912,0.064764645,0.073148422,0.050240457,-0.083831288
0.667302778,0.059206498,-0.004825179,0.077003838,0.109199309,0.14035814,0.0984581,0.071372379,-0.085855016
0.695108333,0.049237576,0.054290058,0.074761178,0.078394129,0.053393306,0.138112512,0.055841031,-0.076422073
0.722911111,0.035494066,-0.04922863,0.102498183,0.101430829,0.116091936,0.141437223,0.069335105,-0.074689265
0.7507,0.074858331,0.158735169,0.113961206,0.105784664,0.083398777,0.065064867,0.078606203,-0.079258466
0.778508333,0.08255737,0.010386992,0.106369528,0.095255344,0.080210874,0.085402595,0.110671654,-0.078527368
0.806297222,0.064164957,-0.031660913,0.093469444,0.126896655,0.114004761,0.196664768,0.106902377,-0.077457256
0.834105556,0.022743802,-0.004985903,0.126826198,0.077453006,0.105718531,0.102793049,0.091574934,-0.085180401
0.861911111,0.046370096,0.052113276,0.125282932,0.119013468,0.13107756,0.105255418,0.091971623,-0.075929874
0.889727778,0.083432939,-0.03891081,0.126978629,-0.076772746,0.11227991,0.074600552,0.077154022,-0.063546713
0.917525,0.082854335,0.147082014,0.1216359,0.06426425,0.107994617,0.081711166,0.100235684,-0.053460442
0.945330556,0.140172578,-0.036443451,0.088124897,0.213114398,0.117799464,0.108391629,0.089911355,-0.048278013
0.973125,0.073283368,-0.04841482,0.111078885,0.014341177,0.07897994,0.079637758,0.086883562,-0.051072537
1.000938889,0.118532777,0.133397765,0.075721686,0.042269056,0.087331664,0.067062878,0.069733335,-0.046889907
1.028744444,0.870119109,0.198857374,0.082652138,0.064958663,0.113750966,0.079481389,0.077826785,-0.042983811
1.056552778,0.139812876,-0.001381651,0.080024956,0.077416088,0.079713751,0.063857646,0.070768675,-0.05073919
1.084361111,0.065462706,-0.003647955,0.078059671,0.041253545,0.120735912,0.079461649,0.065444382,-0.044211301
1.112158333,0.059450219,-0.022052325,0.075603016,0.10571254,0.098100272,0.066316203,0.066423789,-0.040757086
1.139958333,0.040000922,-0.009901068,0.080005041,0.114152644,0.090345965,0.105485156,0.075742702,-0.075747045
1.167761111,0.066099418,-0.004456972,0.090904287,0.091172654,0.112187944,0.095956755,0.066125791,-0.041124081
1.195555556,0.085640869,0.015014981,0.10641396,0.062475926,0.09822527,0.0618845,0.072587886,-0.04122199
1.223366667,0.037382242,0.013598116,0.124572231,0.08386281,0.115898122,6.39E-02,0.064571044,-0.057354239
1.251158333,0.084293058,0.009585008,0.076845878,0.09977731,0.112075747,0.090633742,0.071285839,-0.079042118
1.278972222,0.055439685,0.022080565,0.078103563,0.033926173,0.095706981,0.128079619,0.071950399,-0.046905943
1.306772222,0.053440571,0.131482252,0.109742692,0.087872871,0.103251943,0.10785198,0.066873799,-0.051235938
1.334580556,0.047376766,0.007249096,0.072418191,0.056252565,0.06709657,0.119415102,0.065546337,-0.036411018
1.362386111,0.09023801,0.041229385,0.08659852,0.099397405,0.089055776,0.130424334,0.0781216,-0.063833193
1.390191667,0.098096592,0.09688386,0.118547006,0.045997778,0.083873816,0.069473946,0.067268575,-0.086395953
1.417994444,0.048316305,0.007153975,0.079628916,0.058106202,0.061567593,0.094143635,0.064755708,-0.082024796
1.445805556,0.04794431,0.019618241,0.120541945,0.066846367,0.079755811,0.069977721,0.072517035,-0.083861802
1.473602778,0.054574437,-0.042035298,0.079892462,0.056214545,0.110936294,0.061934387,0.07063797,-0.039965229
1.501413889,0.064118125,0.002144039,0.075324156,0.062732411,0.104746414,0.071325449,0.066205821,-0.064684909
1.529202778,0.063307605,-0.007017528,0.07636751,0.079578437,0.102209668,0.077382778,0.079061235,-0.041337004
1.556997222,0.07438283,0.050188435,0.114140565,0.100980174,0.091555097,0.069060201,0.076517235,-0.064953522
1.584797222,0.095519283,0.057722424,0.119962962,0.125896653,0.092181664,0.086069066,0.08220443,-0.055100393
1.612591667,0.0839376,0.018156337,0.082776639,0.081113089,0.100223066,0.078315921,0.080087413,-0.042494885
1.640402778,0.033018063,0.05139427,0.084751677,0.076853169,0.123953201,0.062149065,0.067962279,-0.037322014
1.668202778,0.096807859,0.018025328,0.083792497,0.062391001,0.13057618,0.082147796,0.087974514,-0.049524994
1.695994444,0.002599074,0.002938203,0.095628626,0.093218175,0.140644351,0.083547093,0.075272268,-0.084349404
1.723802778,0.034834853,0.015796369,0.08880765,0.077055807,0.166548097,0.111001497,0.079426367,-0.040937176
1.751605556,0.044257849,0.011391006,0.088417827,0.103508079,0.145380127,0.140431354,0.087590403,-0.043503591
1.779419444,0.07886851,0.01556933,0.118817954,0.074138309,0.115706657,0.037097844,0.085830043,-0.069270109
1.807225,0.058049494,0.030054486,0.117898917,0.092299441,0.14919286,0.060067113,0.073968113,-0.068557987
1.835016667,0.051998448,0.028290033,0.084667433,0.084336871,0.080299938,0.112250613,0.070451326,-0.033336717
1.862827778,0.08105647,0.015370897,0.079815528,0.091458086,0.097846432,0.083530431,0.070621415,-0.070347896
1.890641667,0.041613362,0.03077285,0.108919219,0.1095407,0.087726272,0.081752051,0.087831893,-0.040237562
1.91845,0.08133776,0.025790342,0.117672038,0.080300756,0.136042296,0.074693027,0.053582897,-0.052225575
1.946255556,0.057140659,0.017316787,0.125746717,0.090282768,0.156405715,0.1477391,0.058625322,-0.038633395
1.974066667,0.065514743,0.02640509,0.114925482,0.078495825,0.102123922,0.098949598,0.091460762,-0.044813435
2.001858333,0.088226509,0.015347584,0.085011044,0.076118744,0.129292956,0.075254814,0.056765183,-0.027765588
2.029666667,0.052398387,0.016965436,0.084280604,0.084660607,0.074122029,0.091687559,0.079895624,-0.064667159
2.057472222,0.07678834,0.017037025,0.078185969,0.093545783,0.106764666,0.089768441,0.106483046,-0.075501738
2.085261111,0.059614159,0.021275399,0.074007222,0.107061023,0.117776223,0.094311732,0.089425819,-0.063872835
2.11305,0.078759478,0.000641347,0.101193267,0.099705892,0.11862158,0.087532327,0.094478459,-0.028567664
2.140863889,0.077233783,0.024267511,0.079602804,0.111728009,0.109544859,0.10092927,0.068370491,-0.062407093
2.168669444,0.077522031,0.026857011,0.082487215,0.09661778,0.127657518,0.101948169,0.098497651,-0.062632609
2.196455556,0.077061711,0.017548916,0.092098295,0.12385913,0.126057373,0.10108501,0.105140343,-0.027006689
2.224252778,0.087203542,0.007737641,0.090886569,0.086082427,0.119614407,0.130323312,0.098811405,-0.030387229
2.252047222,0.062404636,0.010372746,0.084308176,0.089430508,0.056472393,0.125944341,0.09308053,-0.044996675
2.279858333,0.086452459,0.042577527,0.08044044,0.112025092,0.103816899,0.110530179,0.129250026,-0.050177939
2.307666667,0.089615307,0.026173766,0.079479111,0.122838357,0.135274545,0.119377962,0.100637353,-0.034108041
2.335452778,0.092525317,0.018461823,0.075355623,0.119206838,0.124900541,0.122913768,0.102891477,-0.070244979
