Time,M0 - 1%,M1 - 1%,M2 - 3%,M3 - 3%,M4 - 6%,M5 - 6%,M6 - 10%,M7 - 10%
4.44E-05,-0.020826153,-0.025835647,0.077155908,0.025829016,0.059718751,0.03863673,0.034662435,-0.096574072
0.027855556,-0.06125822,-0.031086766,0.052375784,-0.030646066,0.082863849,0.022492388,0.127962399,-0.091725376
0.055663889,0.013583267,-0.040439061,0.062197172,-0.015464369,-0.016685981,-0.007019119,0.115112952,-0.097472316
0.083455556,-0.017856237,-0.032539821,0.007061177,0.014948652,-0.043760887,0.014683111,0.111297161,-0.08289832
0.111266667,-0.050700446,-0.017395924,0.000770581,0.040920027,0.01832557,0.013811311,0.068167939,-0.122787815
0.139052778,-0.020515203,-0.042315344,-0.026373132,0.039196306,-0.043889884,0.034467249,0.100668654,-0.129180206
0.166855556,-0.030772178,-0.027758456,0.025653339,0.02136566,-0.014345078,0.035662961,-0.010612178,-0.09936424
0.194647222,-0.005336642,-0.04201558,0.067408655,0.032307543,-0.019424872,0.027028294,0.035294152,-0.117449517
0.222452778,-0.004082352,-0.014731379,0.023839013,0.017461189,-0.03601015,0.005462903,-0.041131991,-0.105270199
0.250255556,0.02320569,-0.020006406,0.076911794,0.017916241,-0.046996314,0.080730584,0.015644468,-0.120956488
0.278061111,-0.005465534,-0.015278235,0.134276126,-0.00835009,-0.016308171,0.034668394,0.018840598,-0.093673282
0.305861111,0.038481719,-0.021726067,0.134230756,0.016410148,0.044417006,0.07768155,0.084485237,-0.103752921
0.333652778,0.004163478,-0.005802697,0.095848655,0.067306059,0.025033297,0.0612006,0.08482011,-0.084298447
0.361452778,-0.017991891,-0.021965509,0.060739427,0.010763097,-0.034572173,0.048420501,0.094117722,-0.081393949
0.38925,-0.020192988,-0.031596472,0.055504025,0.07974868,-0.049686161,0.069570761,-0.036032137,-0.091247445
0.417058333,0.015343709,-0.041156802,0.092609328,0.024931767,0.003037485,0.063811368,-0.013062287,-0.123784787
0.44485,-0.004654308,-0.042114535,0.021210587,0.061126233,-0.021524681,0.05218373,0.040668491,-0.094045697
0.472658333,-0.021035779,-0.037656531,0.043176308,0.029865492,-0.001723247,0.042131242,0.054145411,-0.063332742
0.500469444,-0.006882765,-0.019285108,0.092705969,-0.01136912,0.010649316,0.032619925,0.018394757,-0.064924614
0.528277778,-0.005523985,-0.083384166,0.076229615,0.007123537,-0.021254831,0.077506202,0.042281593,-0.061892805
0.556086111,-0.014438176,-0.040234611,0.097268708,0.039331482,-0.054767565,0.026880011,0.049739363,-0.066070335
0.583891667,-0.040660551,-0.042221942,0.12912535,0.013770842,-0.005486287,0.059140766,0.020442521,-0.071802925
0.611702778,0.003867374,-0.049306847,0.124352305,0.015181883,-0.023138509,0.132886209,0.056601837,-0.073146697
0.639494444,-0.007834393,-0.037472066,0.156975937,0.028502793,0.007303823,0.070501402,0.058358509,-0.093620682
0.667297222,-0.031359282,-0.041628055,0.133369633,0.013162525,0.00424589,0.043792727,0.059414573,-0.077411767
0.6951,-0.035102274,-0.02840602,0.146558067,0.06302274,-0.072249988,0.05444323,0.05475877,-0.084536142
0.722916667,-0.037834104,-0.044906936,0.042154787,0.051970096,-0.072808622,0.058445404,0.004715752,-0.086099925
0.750730556,-0.022838755,-0.027947148,0.098735564,0.066015152,-0.010621503,0.054511465,-0.00957152,-0.088497214
0.778533333,-0.025272514,-0.018065163,0.019839683,0.048734169,0.027787899,0.072890341,0.010098904,-0.098670469
0.806325,-0.064194638,-0.044447575,0.011876245,0.058971263,-0.028511065,0.049103814,0.024789069,-0.093948857
0.834125,-0.054939825,-0.055090439,0.051348889,0.07311844,0.016492272,0.04670363,-0.018190725,-0.102506967
0.861936111,-0.017279133,-0.044311243,0.048232094,0.050530393,-0.066998584,0.048192488,0.007088926,-0.096753466
0.889744444,-0.006502272,-0.045612591,0.026826885,0.007765282,-0.055494081,0.063758404,0.118075147,-0.100568884
0.917547222,-0.05870574,-0.065389073,0.072205435,0.033928039,-0.048981599,0.069253633,0.030248355,-0.106260071
0.945358333,0.006900076,-0.035170131,0.049110599,0.010256883,0.020998318,0.056377946,0.083617147,-0.073575314
0.97315,-0.023113145,-0.028756136,0.073828288,0.05583097,0.014353495,0.054386697,0.20568588,-0.086878565
1.000958333,-0.023823503,-0.027709688,-0.012777795,0.066842864,-0.044797335,0.049708833,-0.057158401,-0.059756795
1.028747222,-0.027265022,-0.006647941,-0.009319055,0.02480508,0.01764613,0.056550191,0.198832119,-0.068018823
1.056544444,-0.019183892,-0.000904954,0.058498305,0.082491754,0.013080811,0.060320406,-0.010966937,-0.063999267
1.08435,-0.015799503,0.009731333,-0.030746,0.047348242,0.013222398,0.05506704,0.079933108,-0.067199858
1.112158333,-0.01928887,-0.015255701,0.033173474,0.084377976,0.014556124,0.020879171,0.083094712,-0.030075738
1.139955556,-0.04206626,0.003454205,0.018105318,0.025431076,-0.027979556,0.074748058,0.092328553,-0.036479203
1.167763889,-0.018431448,0.012159603,0.019035335,0.016697262,0.035101868,0.068728012,0.034097896,-0.049639036
1.195563889,-0.007061259,0.014553067,0.031434485,0.029832419,-0.047435624,0.051102307,-0.01736939,-0.062000809
1.223355556,-0.014377029,-0.009300769,0.028313683,0.02666386,-0.052280675,-4.61E-03,-0.081028652,-0.0480449
1.251152778,0.008311391,-0.005315418,0.034543582,0.013983173,-0.030970908,0.073937837,0.161969082,-0.065177074
1.278947222,-0.003396026,-0.013995026,0.115432983,0.050038186,-0.005233796,0.052338883,0.036704048,-0.101237234
1.306758333,-0.033213634,-0.079749302,0.038618314,0.019651268,0.032953204,0.058513598,0.184113457,-0.099700587
1.334566667,0.013793419,-0.086158855,0.09616677,0.047230789,0.01230558,0.013641133,0.227756342,-0.100830887
