Time,M0 - 0%,M1 - 0%,M2 - 1%,M3 - 1%,M4 - 10%,M5 - 10%,M6 - 100%,M7 - 100%
5.28E-05,-0.033750382,0.029813718,0.088524726,-0.026590361,0.081689748,0.11423106,0.083034435,0.037236887
0.027863889,0.017880443,0.126901763,0.061890586,-0.014528076,0.072755735,0.176637774,0.096076713,0.016349683
0.055669444,0.039625316,0.092553473,0.05484111,-0.007671894,0.06764163,0.099546211,0.079969744,0.002267625
0.083452778,0.016790717,0.08518944,0.078734749,-0.014366557,0.07654075,0.163638168,9.78E-02,-0.010805958
0.111266667,0.037104764,0.086349829,0.085474001,-0.048278894,0.090037762,0.142613915,0.107857884,0.000256521
0.139069444,0.051130109,0.070573898,0.074734899,-0.041111277,0.072657279,0.05566169,0.103057428,-0.004732471
0.166863889,0.02375994,0.079216729,0.080149588,-0.039877492,0.083578246,0.083604209,0.088650227,0.010061595
0.194672222,0.018003348,0.068709219,0.085539391,-0.0450557,0.094055465,0.146796564,0.066402414,0.021341504
0.222461111,0.029489581,0.08891964,0.088920542,-0.022983357,0.075868985,0.098624254,0.084729748,0.005054795
0.250272222,0.018176909,0.092640238,0.076249581,-0.001080913,0.081027435,0.155872779,0.084531996,0.021570539
0.278063889,0.016693876,0.101819695,0.094038141,0.005513642,0.080119536,0.179059545,0.092008573,0.032617513
0.305872222,0.019351855,0.063508494,0.079904786,-0.034889523,0.076563815,0.151327737,0.080628477,0.023466137
0.333669444,0.022790273,0.09468924,0.088557357,-0.035490977,0.073840057,0.148345493,0.077526048,0.025488058
0.361477778,0.009571308,0.108728512,0.090437965,-0.036940913,0.07855398,0.155267439,0.073473618,0.018382706
0.389280556,0.002777488,0.091754726,0.068470059,-0.035478761,0.084061891,0.180875231,0.075025704,0.017098676
0.417077778,0.007208616,0.074842605,0.080477482,-0.022766597,0.07707596,0.060773572,0.087820503,0.002335582
0.444886111,-0.003082616,0.089543848,0.080905483,-0.04997914,0.090887148,0.188992434,0.07822505,0.014171633
0.472675,0.017111614,0.0778326,0.082922536,-0.037741418,0.072861782,0.160912567,0.080201038,0.027437774
0.500472222,0.013724808,0.115696197,0.083881827,-0.027485743,0.07740577,0.110075397,0.097698813,0.013002226
0.528263889,0.006817531,0.105591699,0.077846479,-0.028417558,0.079894131,0.061295824,0.097544552,-0.004002079
0.556069444,0.00015324,0.090086759,0.074212973,-0.006516214,0.086716755,0.149362788,0.100908351,0.008302226
0.583880556,0.00688523,0.078454137,0.080759684,-0.002757718,0.081513577,0.178064853,0.095700539,0.020167535
0.611680556,0.029200813,0.1134626,0.084131846,-0.039034655,0.068464099,0.148225201,0.098307056,0.022370222
0.639491667,0.009307002,0.08863535,0.078412346,-0.031808428,0.087527328,0.144167886,0.079027516,0.004191465
0.667288889,0.005309902,0.112506636,0.084943373,-0.026296073,0.074334156,0.145232664,0.09526845,0.001493476
0.6951,0.010669675,0.104327411,0.07252769,-0.033905968,0.095440049,0.153501932,0.092308238,0.024007059
0.722891667,-0.001262328,0.08974669,0.082450396,-0.012524754,0.071141552,0.159146853,0.101126622,0.010400911
0.750702778,0.010108773,0.09328798,0.070031921,-0.025685729,0.07414917,0.166471236,0.101333779,0.025368621
0.778494444,0.002100683,0.109951016,0.072409636,-0.033621694,0.083053621,0.193727411,0.081858852,0.030720133
0.806302778,0.003644087,0.118239168,0.078583338,-0.030282352,0.068482973,0.154165945,0.110868306,0.020663336
0.834111111,-0.001857489,0.111409551,0.077821398,-0.019842767,0.067570015,0.115246311,0.091402773,0.019703695
0.861922222,0.005226071,0.111638453,0.07122511,-0.03647527,0.073188024,0.071212071,0.083812,0.019352482
0.889722222,0.017350125,0.121033112,0.06981996,-0.023047634,0.084279745,0.183849867,0.088943737,0.021026138
0.917519444,0.012680127,0.113280225,0.073474873,-0.028611409,0.088929702,0.199147984,0.101629023,0.022405134
0.945327778,0.001596757,0.095300108,0.072791826,-0.020266069,0.086622171,0.072453764,0.112929117,0.020764095
0.973125,0.016641303,0.129786026,0.070802285,-0.010712582,0.08602843,0.069758026,0.116389325,0.014197656
1.000936111,0.01917466,0.099273866,0.07619112,-0.032427203,0.090556137,0.114087056,0.101023178,0.017122159
1.028733333,-0.024568327,0.106960664,0.078087117,0.271932557,0.087851439,0.116137904,0.164179226,0.012778054
1.056519444,0.047817769,0.069453759,0.080371241,-0.046532457,0.094503554,0.11509426,0.07728451,0.020354731
1.084316667,0.052489584,0.060545593,0.091984706,-0.055208445,0.114763296,0.087900129,0.121434121,0.021536257
1.112122222,0.037651934,-0.053752548,0.075249454,-0.066004315,-0.016418831,0.107389108,0.124261457,0.01907675
1.139911111,0.007692549,-0.071659516,0.093307682,-0.034177492,-0.02491142,0.165398265,0.076070786,0.017365697
1.167702778,-0.014273283,-0.043914575,0.132078823,-0.063094169,0.067674941,0.118852976,0.119251671,0.011301165
1.195505556,0.028132547,-0.097645532,0.106919003,-0.085668672,0.095231821,0.165153684,0.117924242,0.010107808
1.223305556,0.009192539,-0.097975212,0.084169606,-0.059113592,0.03041932,0.134964435,0.106998652,0.015081538
