Time,M0-1 - 0%,M1-1 - 0%,M2-1 - 1%,M3-1 - 1% ,M4-1 - 10%,M5-1 - 10%,M6-1 - 100%,M7-1 - 100%,M0-2 - 3%,M1-2 - 3%,M2-2 - 1%,M3-2 - 1%,M4-2 - 6%,M5-2 - 6%,M6-2 - 8%,M7-2 - 8%
5.28E-05,-0.024130338,0.006346773,0.067842802,-0.124057678,0.007344557,0.072041833,0.085389776,0.026771243,-0.008855953,-0.143973108,0.098047001,-0.040016587,0.086010521,0.047189148,0.09871637,-0.004991281
0.027861111,0.112769688,-0.084316642,0.077538198,-0.109544336,0.08561364,0.094848526,0.050678304,0.01696809,0.034974094,-0.114487277,0.059753894,-0.046127553,0.140392958,0.120161116,0.077743433,-0.013995137
0.055655556,0.010423753,-0.016037903,0.113988291,-0.047172689,-0.01407165,0.147860316,0.059956568,-0.002863742,0.001754582,-0.1723427,0.097084035,-0.025825324,0.12921759,0.167862088,0.044786315,0.0244003
0.08345,0.054318508,-0.091804589,0.034977341,-0.066676399,-0.021885146,0.083895019,0.055887976,9.87E-05,0.030693972,-0.21077737,0.107593058,-0.065681725,0.119516962,0.134151368,0.072692519,0.034372763
0.111258333,0.08113794,-0.100227285,0.133664052,-0.054634549,-0.011214334,0.153606874,0.049930348,-0.016724797,-0.010305554,-0.165001786,0.175376683,-0.054603667,0.131598501,0.05046794,0.065234993,-0.001386275
0.139044444,0.054543805,-0.073481645,0.069148995,-0.019853881,-0.004207937,0.138265682,0.070529262,0.009047713,0.005966217,-0.112568538,0.284339106,-0.085168626,0.146994317,0.117434945,0.078090845,0.021487204
0.166855556,0.056643091,-0.111250609,0.044644237,-0.054701814,-0.010414838,0.112627258,0.073478532,0.01199115,-0.026967627,-0.160038314,0.08289902,-0.03210991,0.183050645,0.048890346,0.071447056,0.016190096
0.194663889,0.067111658,-0.077972282,0.06867576,-0.049251771,-0.008050675,0.053889588,0.067231414,0.047110674,-0.036917708,-0.141879182,0.138407386,-0.071772013,0.143470474,0.080552041,0.08032495,0.009666366
0.222455556,-0.059318938,-0.077494864,0.017345122,0.020771835,-0.045105111,0.048404951,0.065689399,0.035702211,-0.052870099,-0.122264274,0.045370154,-0.061181934,0.177140535,0.092465442,0.075846087,0.00540837
0.250266667,0.08105669,-0.089209342,0.06359165,0.042709655,-0.020167497,0.064314065,0.063735421,0.011514467,-0.007506176,-0.069303868,0.142824568,-0.040146847,0.12142965,0.157730422,0.084917217,0.016680468
0.278063889,0.02998556,-0.078704668,0.191261243,-0.063352327,-0.063415261,0.144606407,0.072507833,0.017822297,-0.046225403,-0.084551668,0.093125505,-0.0835441,0.172227635,0.053765942,0.084367523,-0.000406682
0.305872222,0.027402811,-0.100072194,0.07285843,-0.044111228,-0.016527623,0.143964676,0.073600236,0.02355406,-0.027850343,-0.055465654,0.099188154,-0.106886626,0.136956263,0.148118126,0.090973363,0.002508262
0.333661111,0.065006063,-0.114952479,0.076002456,0.061590584,-0.021988316,0.149043863,0.072375515,0.065659707,-0.002109528,-0.000888956,0.073292103,-0.087144372,0.163060964,0.071489087,0.096993409,0.001464806
0.361469444,0.069392885,-0.141724124,0.091026702,0.027888315,-0.017054132,0.169747461,0.065855897,-0.006748508,-0.043863384,-0.013608417,0.344465418,-0.086605478,0.127768281,0.134055904,0.093309817,0.026239337
0.389263889,0.057847773,-0.138419178,0.026315422,-0.048652628,-0.046049894,0.196150305,0.068294966,0.021233179,-0.034851396,-0.017253198,0.090339774,-0.054702657,0.159201525,0.064506078,0.106846336,0.016172472
0.41705,0.050543378,-0.116983423,0.098363494,-0.025485517,0.002842385,0.199628187,0.059161199,0.023615826,-0.023991416,-0.158889937,0.071473206,-0.044794547,0.155858073,0.212529132,0.096099303,0.010204385
0.44485,0.049323076,-0.158770086,0.018677177,-0.037580087,-0.038009535,0.154334505,0.083411613,0.009912543,0.016101595,-0.133486267,0.112298991,-0.044605199,0.123335009,0.203050817,0.083576709,0.013730689
0.472647222,0.059920759,-0.165019241,0.174015547,-0.053504391,-0.023983277,0.128516629,0.076700108,0.021920334,0.008037122,-0.167849032,0.122773443,-0.059896007,0.149811335,0.350818094,0.072180192,0.021209844
0.50045,0.076489289,-0.161670122,0.073859441,-0.067547588,-0.031138473,0.183296286,0.076809283,-0.009886424,-0.030877998,-0.058466584,0.099912376,-0.057837951,0.160293738,0.154927348,0.097207658,0.027869531
0.528238889,0.078537795,-0.158826876,0.107394341,-0.01990779,-0.014930182,0.150362628,0.089779746,0.019798522,-0.009745728,-0.230849192,0.03347756,-0.079155808,0.137704869,0.063811557,0.09548381,0.011265605
0.556047222,0.089314216,-0.156609466,0.098475717,-0.037544149,-0.004151149,0.05812818,0.066804501,0.048748135,0.009060919,-0.167959343,0.097776731,-0.049183577,0.156194485,0.103161989,0.107001422,0.016915306
0.583838889,0.032449505,-0.128416298,0.075191457,-0.025918342,-0.031010469,0.066200443,0.068168755,0.01586843,-0.005629864,-0.223988619,0.065498994,-0.090479772,0.15312685,0.394539301,0.083445106,0.020535462
0.611644444,0.03033442,-0.107883881,0.074506757,-0.087478235,-0.015234318,0.110696113,0.040882777,0.017786066,0.00310641,-0.073063084,0.095918783,-0.040729637,0.147217424,0.209157962,0.085736179,0.018478871
0.639436111,0.026645043,-0.153979933,0.10958749,-0.005208064,-0.051772069,0.133228812,0.076500292,0.002563312,0.030558562,-0.088285324,0.060361587,-0.050829312,0.167256926,0.21138547,0.11230204,0.038836827
0.667247222,0.063652949,-0.161918128,0.065562339,-0.08363053,-0.008781503,0.118540698,0.08968678,0.035534389,-0.047823394,-0.049274812,0.183255896,-0.039681207,0.158530935,0.136022119,0.086538153,0.045977988
0.695058333,0.043425071,-0.164222281,0.065049712,-0.051878607,-0.027264515,0.060838241,0.049622407,0.018884409,-0.046546879,-0.086751434,0.09195893,-0.088882592,0.139159039,0.15707495,0.104345636,0.032687632
0.722847222,0.067535679,-0.168481714,0.062217478,-0.074471721,-0.002697799,0.092238477,0.058813129,-0.037415856,0.037385133,-0.062698961,0.081434801,-0.062713534,0.179654005,0.370565764,0.096423833,0.071696709
0.750641667,0.075734327,-0.158575591,0.071285926,-0.080744265,-0.028291513,-0.000832795,0.055774566,0.044936271,0.038333013,-0.084261902,0.192197933,-0.087245181,0.172418475,0.145084996,0.092589748,0.036139688
0.778433333,0.086908463,-0.180947531,0.087220753,-0.007085646,-0.026299518,0.009636276,0.084558718,0.017072468,-0.038119753,-0.156828743,0.059729876,-0.051961086,0.157378639,0.127127461,0.09241574,0.03111383
0.806222222,0.032589836,-0.151016711,0.069134308,-0.008742355,0.00901845,0.038798413,0.08918118,0.042304655,0.083837011,-0.061330903,0.061060941,-0.023633748,0.135727342,0.086951679,0.105858618,0.035826017
0.834030556,0.070791048,-0.122885887,0.081341157,-0.070668698,-0.01317153,0.033530203,0.05700586,0.030284061,-0.059086271,-0.076893146,0.129316106,0.006531602,0.151231383,0.140719608,0.095259977,0.021547598
0.861822222,0.077897363,-0.151563266,0.067186894,-0.079392418,-0.023755658,0.156223561,0.043815961,0.014920343,0.008618525,-0.117258541,0.103507889,-0.075364197,0.150968226,0.182524563,0.099643553,0.011173526
0.889619444,0.082685611,-0.15843719,0.105428854,-0.056537293,-0.030670075,0.01705733,0.064934392,0.003887407,-0.026074373,-0.116961408,0.146038245,-0.051772247,0.14092379,0.019731806,0.111541621,0.011498777
0.917413889,0.081464996,-0.161201081,0.096939768,-0.036339691,0.009786266,-0.165153008,0.056854441,0.03533435,-0.029957294,-0.115400474,0.11134618,-0.083877181,0.125106543,0.113993599,0.100307859,0.042775037
0.945219444,0.05947957,-0.159245278,0.123828399,-0.050204683,0.013059846,-0.074411728,0.074475364,0.01564371,-0.012586918,-0.075800587,0.08817924,-0.019114605,0.141251482,0.094991685,0.095823976,0.026142642
0.973022222,0.053881584,-0.159541198,0.075827058,-0.037113,-0.00989753,0.032339572,0.074487914,0.054004299,0.025439319,-0.090776836,0.119215997,-0.047979874,0.154599563,0.049051301,0.09353262,0.037148273
1.000827778,0.076481847,-0.169193877,0.024809343,-0.029859568,-0.023821465,0.081013468,0.06481833,0.061132151,0.019443179,-0.097202341,0.111556597,-0.052791035,0.174280902,0.208541941,0.115553683,0.042792077
1.028622222,0.076396375,-0.16196322,0.050066564,-0.058198026,-0.069495398,0.200704529,0.063540557,0.06321978,-0.067721657,-0.10384786,0.097772476,-0.075561005,0.158811532,0.235420306,0.105626235,0.032556129
1.056433333,0.125433085,-0.173239664,0.185340637,-0.047903168,-0.012366745,0.230439095,0.059090653,0.049197841,-0.061857296,-0.080640109,0.100978006,-0.056431161,0.153513332,0.267295628,0.116509569,0.014027632
1.084227778,0.14243741,-0.170817775,0.096341121,-0.051914897,-0.035883011,0.15125123,0.089203774,0.007456854,0.017624486,-0.067824004,0.119214984,-0.055046142,0.136958929,0.224145541,0.125699119,0.017100619
1.112033333,0.062889874,-0.130553187,0.089124212,-0.050698861,0.011018998,0.080856958,0.073317452,0.000416237,0.058846627,-0.093602039,0.095305854,-0.05601103,0.11916036,-0.041455586,0.105179115,0.027885471
1.139825,0.001964046,-0.146455543,0.067520457,-0.017548699,-0.003213871,0.146638548,0.08851753,-0.006438318,-0.024607056,-0.123559713,0.08342899,-0.081498099,0.144809423,0.179148798,0.101235995,0.048655117
