Time,M0-1 - 0%,M1-1 - 0%,M2-1 - 1%,M3-1 - 1%,M4-1 - 3%,M5-1 - 3%,M6-1 - 10%,M7-1 - 10%,M0 - 3%,M1 - 3%,M2 - 6%,M3 - 6%,M4 - 8%,M5 - 8%,M6 - 10%,M7 - 10%
5.28E-05,-0.003858563,-0.069071691,0.109499369,-0.073391501,0.199331567,0.109079705,0.140077462,0.005404777,0.00129042,0.010673792,0.035701412,-0.07135765,0.111934954,0.138048834,0.118948196,0.060737216
0.027861111,0.016031991,-0.136128968,0.098348412,-0.020478785,0.096721757,0.098762518,0.091998253,0.085328761,-0.033116561,0.102366256,0.092388021,-0.026495475,0.176347064,0.150626756,0.098058558,0.047238185
0.055661111,-0.00313531,-0.059199519,0.088102235,0.025266693,0.228027803,0.082400073,0.135558512,0.011369713,-0.060530462,-0.171615119,0.079280183,-0.000703388,0.132067538,0.163497485,0.136960172,0.020328707
0.083458333,0.012497719,-0.093195539,0.099616559,0.012609465,0.004110458,0.10353562,0.083586452,0.001463889,-0.030152357,-0.19306703,0.091251111,-0.021499422,0.24975564,0.105379912,0.119834218,0.008667771
0.111269444,0.041158275,-0.108385323,0.104745157,-0.022848197,0.135479856,0.121776792,0.082049671,-0.038486945,-0.002544994,-0.152670667,0.121870366,-0.009994985,0.096619346,0.15927338,0.142076806,0.015774133
0.139061111,0.028962235,-0.040288931,0.082078305,-0.025285374,0.099073485,0.104350537,0.07442591,0.013093487,-0.0456541,-0.098616816,0.103728177,-0.04104892,0.181094677,0.169881016,0.149797802,0.042585979
0.166847222,0.037192026,-0.013342792,0.091012825,-0.009819423,0.199824458,0.147762263,0.074012779,0.005864553,-0.017946069,-0.153480593,0.118212269,-0.011015141,0.345763648,0.110400157,0.140257191,0.038734391
0.194658333,0.053443346,0.013147335,0.092941108,-0.05618975,0.23589324,0.146850068,0.10076375,0.027567502,0.083266494,-0.188089169,0.10336903,-0.012539323,0.153068376,0.158570489,0.148784041,0.014143227
0.22245,0.036084793,-0.062924888,0.101012783,-0.04205082,0.186462355,0.143744814,0.102194932,0.045032673,-0.031792826,-0.165401199,0.109760126,-0.077836489,0.166405514,0.119118406,0.146915542,0.02910345
0.250261111,0.07404321,-0.078362915,0.093924414,-0.08654532,0.141419936,0.150525964,0.104757006,0.034331852,-0.000359614,-0.179014647,0.106568246,-0.078027398,0.187835413,0.124519523,0.160064192,0.048200334
0.278047222,0.064979119,-0.006490656,0.09319742,0.005030473,0.140389423,0.131152592,0.06400026,-0.183648899,0.011771209,-0.152227821,0.113974847,-0.080832719,0.136776715,0.12478517,0.162520484,0.025986888
0.305855556,0.068020082,0.052392218,0.11367707,-0.024077647,0.178712943,0.144156661,0.096499927,0.037512412,0.070965728,-0.145669969,0.10413345,0.036356076,0.157277719,0.175910736,0.161504072,0.020276068
0.333666667,0.039950098,0.069316356,0.125041988,0.000124113,0.18570785,0.159023554,0.082448824,0.080201996,0.002422976,-0.11903612,0.110070302,-0.076493175,0.170109694,0.164424,0.149738271,0.008848098
0.361463889,0.054075622,0.029880076,0.120286574,-0.040584578,0.156958881,0.13869194,0.085335825,0.180894021,0.061255927,-0.11758085,0.095279984,-0.11378568,0.134471021,0.161142539,0.146122776,0.015750004
0.389255556,0.068748858,-0.040685659,0.100240573,0.006397444,0.162824919,0.148494637,0.068069367,0.000197144,-0.046656729,-0.159791456,0.095179271,0.061703106,0.170874753,0.100107373,0.1314541,0.080390341
0.417041667,0.062290326,0.021886383,0.071276668,-0.115009739,0.133990884,0.140144438,0.046107003,-0.001307409,-0.058589588,-0.168608583,0.088563865,-0.062335937,0.149432665,0.169630521,0.172507567,0.061166881
0.44485,0.060836443,0.011681374,0.096015606,-0.081191912,0.191371591,0.150958039,0.048055815,-0.086263212,-0.041290126,-0.128042398,0.095095868,-0.003775223,0.152185621,0.106157802,0.163655277,0.028477439
0.472644444,0.062056047,-0.011161615,0.084817244,-0.051097477,0.176466618,0.158294223,0.057091773,0.147368122,-0.065590893,-0.095272808,0.09239413,0.027075464,0.168825338,0.17391824,0.137263983,0.049482987
