Time,M0 - 3%,M1 - 3%,M2 - 1%,M3 - 1%,M4 - 6%,M5 - 6%,M6 - 8%,M7 - 8%
4.44E-05,-0.050073007,-0.049193243,0.073075504,-0.018144796,0.079603639,0.030911865,0.067026807,-0.145373844
0.027852778,0.282001366,0.001761511,0.09944215,0.058197257,0.06511075,0.043072343,0.082011334,-0.030852584
0.055644444,0.160453457,-0.046731267,0.072995774,0.091383341,0.118562849,0.056327476,0.070095558,-0.040099206
0.083444444,0.065914003,0.023405501,0.065797392,-0.037977186,0.095900015,0.089875585,0.060424367,-0.069116736
0.111247222,0.00450112,0.046944914,0.02796747,0.23529518,0.112725259,0.12693309,0.078980636,-0.070180423
0.139058333,0.067060825,-0.05068239,0.050728299,0.067831395,0.118994301,0.061569046,0.072467865,-0.062398661
0.166869444,-0.001956054,-0.004685376,0.086501789,0.145039281,0.084267504,0.104771476,0.075115105,-0.07006283
0.194658333,0.10677546,-0.003894971,0.055195583,0.006053793,0.112353719,0.052017968,0.079887414,-0.098273094
0.222463889,0.025515302,0.000892341,0.025637823,0.044688065,0.090623338,0.079264346,0.068742003,-0.109681933
0.250255556,-0.046713855,0.001045717,0.022620635,0.130270218,0.116145946,0.068292897,0.079210984,-0.10355553
0.278061111,0.009586945,0.216783352,0.027803644,0.130133783,0.113375833,0.076912721,0.079627155,-0.107715315
0.305858333,0.055090387,0.015513863,0.023737909,0.192453866,0.13491722,0.076366123,0.050958031,-0.07608068
0.333663889,-0.028939092,-0.003897219,0.040038267,0.262340341,0.08738261,0.060762932,0.065812788,-0.074012319
0.361461111,0.045293613,-0.037869963,0.064515242,0.107697605,0.082004565,0.0825198,0.034938151,-0.105819339
0.389263889,-0.024402339,0.0015096,0.063738586,0.017479352,0.124045861,0.106305565,0.043707702,-0.102259219
0.417058333,-0.048416855,0.019403063,0.07702951,0.082705207,0.111859294,0.094877815,0.036490592,-0.12190127
0.444847222,-0.023656383,0.031563245,0.073024681,0.129611934,0.121201439,0.107017011,0.045127754,-0.124402201
0.472652778,-0.033058417,-0.0153985,0.072782191,0.057072624,0.074493893,0.062567429,0.059676184,-0.130194442
0.500447222,-0.024498061,0.016353164,0.075425954,0.146104332,0.078010346,0.096267606,0.003917086,-0.128128388
0.528255556,-0.059785583,0.009117172,0.079128786,0.06095233,0.096032345,0.057165151,0.034701732,-0.106504407
0.556047222,-0.035097163,-0.001897367,0.070285395,0.074267636,0.0694307,0.081511793,0.003789662,-0.126576403
0.583858333,0.106267716,0.013400508,0.072217519,0.089977303,0.110233596,0.118233714,0.034573051,-0.100019312
0.611661111,-0.043681695,0.135780725,0.079821453,0.083923687,0.071574885,0.100378432,0.102987661,-0.093885199
0.639463889,0.044571801,0.003525393,0.073918149,0.075488771,0.070582464,0.039846186,0.077858188,-0.069943905
0.667263889,1.000278556,0.049557038,0.073141653,0.074491001,0.096773771,0.111234496,0.045065525,-0.111027131
0.695077778,0.032262594,-0.010702571,0.082858305,-0.004602132,0.084155473,0.094572604,0.020492295,-0.072268117
