Time,M0 - SGy104-1 - 1%,M1 - SGy104-5 - 1%,M2 - SGy104-4 - 3%,M3 - SGy104-5 - 3%,M4 - SGy104-4 - 6%,M5 - SGy104-5 - 6%,M6 - SGy104-4 - 10%,M7 - SGy104-5 - 10%
4.44E-05,-0.060876445,0.024912334,-0.011231607,0.034314903,0.144370015,0.03627957,-0.001726299,-0.192285489
0.027833333,0.02258069,0.042206184,0.096170414,0.05034753,0.151672913,0.012538677,0.040897137,-0.060830009
0.055630556,-0.021673888,0.054222077,0.069308784,0.051602225,0.109422137,0.05416657,0.045598938,-0.106505121
0.083422222,-0.011208385,0.056740507,0.100548451,0.041174682,0.075242094,0.057378909,0.012666812,-0.111659924
0.111233333,-0.007327298,0.071403218,0.100658072,0.050570723,0.046634499,0.06027333,0.013640095,-0.073078029
0.139036111,-0.102851701,0.080599733,0.070434954,0.03362332,0.044116798,0.063121982,0.015671663,-0.07556749
0.166844444,0.052541568,0.0657808,0.21920946,0.044948248,0.032339689,0.029999317,0.021344414,-0.092253911
0.194638889,0.018753877,0.070598836,0.013959619,0.045072066,0.027477948,0.043578295,0.079491428,-0.080543542
0.222425,0.012355382,0.073323332,-0.041625658,0.047350658,0.05680286,0.024922058,0.107647842,-0.078882058
0.250222222,0.069189501,0.064167288,0.118194526,0.046955726,0.038980854,0.023746353,0.03978686,-0.081562796
0.278033333,-0.013852289,0.062069251,0.043293031,0.048996592,0.012875445,0.044362133,0.166257645,-0.097302104
0.305822222,-0.003972854,0.049724343,0.045434323,0.046339144,0.006430726,0.063027737,0.031304874,-0.085620872
0.333630556,0.008951367,0.049839064,0.029611132,0.050528241,-0.006936418,0.058124671,0.054441438,-0.081459743
0.361422222,-0.001251687,0.060393549,0.038298594,0.046135352,0.02056119,0.020492093,0.111417865,-0.067366105
0.389233333,0.013128013,0.014562663,0.058820152,0.048710809,0.032116291,0.091933096,0.045422995,-0.067792667
0.417044444,-0.008442425,0.056692055,0.046826235,0.05033141,0.056933253,0.06544653,0.069866352,-0.077986307
0.444855556,0.029940108,0.011990987,0.061325849,0.051792798,0.043735927,0.057315187,-0.037381886,-0.064125999
0.472644444,-0.013831099,0.055247814,0.064937469,0.05110539,0.018237278,0.046469828,0.039511129,-0.064166437
0.500452778,0.036360772,0.056220433,0.068379569,0.052968944,0.035033514,0.065471062,-0.005037991,-0.070591438
0.528255556,0.012373387,0.049947172,0.068231186,0.050451632,0.015993326,0.072855581,-0.002823027,-0.054755671
0.556063889,0.060633064,0.018238867,0.064407021,0.051617699,0.009058872,0.079045571,0.07527204,-0.058639101
