Time,M0 - 31.5,M1 - 31.5,M2 - 31.5,M3 - 30C,M4 - 30C,M5 - 28.5C,M6 - 28.5C,M7 - 28.5C
4.16667E-05,0.040730203,-0.042030472,-0.009146792,0.00589271,0.021050202,-0.000153781,0.004498917,-0.134479785
0.027852778,-0.042981226,-0.014345007,0.008465742,0.007694485,-0.011233711,0.231855916,0.074299048,-0.173001504
0.05565,0.069572692,-0.004980604,-0.020232758,0.005753288,0.01182765,0.125421422,-0.085782051,-0.190603886
0.083461111,0.063860014,-0.018606344,0.00479332,0.005732497,0.021272791,0.165693253,0.081775109,-0.152111812
0.111252778,-0.070847204,-0.026604245,-0.008058972,-0.005270682,0.026267128,0.173179979,-0.052708936,-0.147697631
0.139055556,0.002938551,-0.030878954,0.010196437,0.001192452,0.02864538,0.172101713,0.160199827,-0.193297529
0.166866667,-0.089051588,-0.031176084,-0.028367039,-0.004689765,0.027675795,0.162289174,0.021032238,-0.165015579
0.194661111,-0.058515809,-0.009212586,0.014075121,0.004899526,0.032677085,0.179757209,0.034611556,-0.16543758
0.22245,-0.061444107,-0.008866811,-0.003653933,0.005535824,0.033813049,0.172820105,0.058910404,-0.244660775
0.250238889,-0.061981791,-0.007535694,0.045645013,-0.003755679,0.039942648,0.163438682,0.00889644,-0.136934041
0.278036111,-0.049502333,-0.007270977,-0.042314495,-0.008586968,0.043001366,0.158016625,0.027737911,-0.200550229
0.305822222,-0.084336215,-0.013983232,0.024333874,0.002612576,0.037949512,0.189387651,0.050232252,-0.127118952
0.333619444,-0.062337321,-0.022897356,0.062508133,0.000595314,0.038662296,0.191970331,0.022259325,-0.180869179
0.361413889,-0.066685228,-0.022898489,0.007217273,-0.002723677,0.035860933,0.147635741,0.020307981,-0.16147246
0.389211111,-0.023481528,-0.016886395,0.040798454,-0.001216589,0.04341744,0.178367007,-0.037615054,-0.147577341
0.417016667,-0.050661542,-0.020879644,-0.01007267,0.004300154,0.031889354,0.19405519,-0.030132327,-0.092510171
0.444827778,-0.045882374,-0.021165852,-0.002970261,0.00554496,0.04203666,0.175496577,-0.00650335,-0.087051965
0.472619444,-0.026396321,-0.027930821,-0.011154814,-0.007859492,0.032699425,0.150782704,-0.00358681,-0.214705588
0.500427778,0.058363764,-0.02364863,0.025870595,-0.006112546,0.040100911,0.190889664,-0.031928235,-0.150737009
0.528227778,-0.095362615,-0.017768502,0.014790523,0.001919033,0.043631448,0.199583055,0.007199166,-0.132620858
0.556036111,-0.047158936,-0.026777622,0.017804524,0.005301009,0.039085735,0.170094365,0.020965244,-0.14071496
0.583844444,-0.043922122,-0.016870579,-0.000302009,-0.00429611,0.040695617,0.151630923,0.017359966,-0.19204995
0.611655556,-0.093415573,-0.019358295,0.066638039,0.006135832,0.034522522,0.059647293,0.02914764,-0.266765905
0.63945,-0.031294505,-0.015362416,0.01382546,-0.004283414,0.041703148,0.134308017,0.055642723,-0.134923937
0.66725,-0.070717209,-0.024018187,0.003066272,0.000759627,0.040942286,0.072013912,0.083465652,-0.138451196
0.695055556,-0.057308619,-0.01538809,-0.03325393,-0.007734956,0.035250658,0.029303049,0.059157958,-0.274398235
0.722847222,-0.029109556,-0.015272419,0.023549021,-0.003967625,0.037672638,0.060609048,0.027969078,-0.040655611
0.750658333,-0.080429222,-0.015093313,0.030246799,0.006612748,0.042039436,0.033489598,-0.005673405,0.285540672
0.778466667,-0.068283405,-0.01930496,-0.023581642,0.003142624,0.039561283,-0.015380438,0.017613619,0.051691814
0.806275,0.005090871,-0.019658608,0.006915592,-0.003316877,0.040011388,0.116222099,-0.003784477,0.105824455
0.834080556,-0.060786833,-0.014214666,-0.035362824,0.008090045,0.041056488,0.086268269,0.002195935,-0.141396866
0.861877778,-0.0739564,-0.016726558,-0.115198775,0.005095019,0.045919185,0.079971751,0.039918104,-0.099980989
0.889683333,-0.039007637,-0.019968354,0.439221841,0.00313401,0.037877158,0.249835177,0.035984076,-0.148544766
0.917491667,-0.075541538,-0.019131556,-0.043291306,0.002336588,0.037430314,0.008207093,0.017210089,-0.129880887
0.945277778,0.030892717,-0.019952571,-0.043973263,-0.002712837,0.037783474,0.006088749,0.046669037,-0.177189225
0.973094444,-0.050789257,-0.016879014,-0.045870979,-0.002765548,0.038060206,0.008164366,0.035020738,-0.1599836
1.000880556,-0.036350001,-0.013973394,0.019624048,-0.00775571,0.041928406,0.073151319,0.02597669,-0.194219328
1.028691667,-0.038050243,-0.015141932,-0.013850464,-0.00163163,0.039345461,0.040440298,0.034166681,-0.158928585
1.056494444,-0.050082036,-0.015652526,0.003505618,-0.005587588,0.039030876,0.122923759,0.017700615,-0.13731662
1.084294444,-0.030713448,-0.016595426,0.019650196,0.004419302,0.042881014,0.065967418,0.009816891,-0.157987758
1.112108333,-0.028107648,-0.012523666,0.097063985,-0.001214821,0.040968114,-0.019321601,0.02433336,-0.154280414
1.139916667,-0.03646882,-0.016370133,-0.051470404,0.007007187,0.041988042,0.10096794,0.010933146,-0.154246575
1.167708333,-0.083241249,-0.023260232,0.008287013,-0.005739276,0.036279865,0.128958031,0.016107794,-0.133035798
1.195513889,-0.021802363,-0.016180009,-0.061871192,0.007682798,0.041666221,0.125773905,0.047684519,-0.159231236
1.223316667,-0.055961908,-0.016355946,0.041096,0.007286247,0.040229997,-0.00454554,0.047653529,-0.171477003
1.251102778,-0.046118917,-0.017567651,0.017104931,0.009040644,0.037702264,0.17637735,0.051173765,-0.156786689
1.278905556,-0.004234769,-0.010210271,0.045256098,0.002258446,0.04290078,0.115116242,0.029595637,-0.158533816
1.306705556,0.020531335,-0.015893819,0.048581801,0.008001519,0.037245168,0.183908084,0.030727557,-0.118166593
1.334511111,-0.005381467,-0.017141501,0.008847376,0.000782732,0.039862947,0.022529694,0.025902288,-0.141589293
1.362322222,-0.051878721,-0.016841469,0.030400717,0.00341721,0.041471007,0.275582357,0.013497678,-0.131307552
1.390119444,-0.086912595,-0.015259925,0.026273276,-0.003124429,0.041831895,0.006366469,0.017104813,-0.136572526
1.417930556,-0.045295755,-0.012749983,0.03179328,-0.000317463,0.041073129,0.062614371,0.029609253,-0.178168547
1.445730556,-0.044761239,-0.013234444,0.012374944,0.010712263,0.039526426,0.194305643,0.020784214,-0.178748512
1.473538889,-0.05440545,-0.013887589,0.024197724,0.00043014,0.041748183,0.334391792,0.011666676,-0.147541152
1.501344444,-0.039777613,-0.013277617,-0.011446988,0.003521251,0.037566187,0.025406398,0.013824967,-0.142662333
1.529158333,-0.066277114,-0.013927172,-0.052492065,6.9261E-06,0.043758085,0.039454169,0.007109189,-0.151983055
1.556955556,-0.042703179,-0.013104532,0.012526954,0.000783292,0.044275332,-0.002874407,0.009222466,-0.142148829
1.584761111,-0.051425635,-0.013992772,0.042839547,0.001471664,0.044834041,0.188716833,0.001479066,-0.182315136
1.612563889,-0.045667216,-0.015242709,0.130531729,0.002975215,0.040772824,0.086022006,0.002308571,-0.148591191
1.640375,-0.057357248,-0.013957951,0.022010766,0.004208619,0.044164836,0.280247887,-0.000414277,-0.153555513
1.668183333,-0.048902597,-0.010918915,0.119689995,-0.000222628,0.040494513,0.08864631,7.44779E-05,-0.15055129
1.695972222,-0.048168885,-0.013194602,0.034464079,0.008846655,0.041682405,-0.006514685,0.010772718,-0.146010677
1.723780556,-0.050532191,-0.014597831,0.198128707,0.010498401,0.041533547,0.14477854,0.035986763,-0.176193145
1.751583333,-0.050770061,-0.016619106,0.07674899,0.00912016,0.042401487,-0.010452662,0.020312633,-0.143735984
1.779394444,-0.036820693,-0.013541263,0.189462963,0.004450544,0.046131154,0.068023743,0.031675193,-0.177458649
1.807197222,-0.052357226,-0.009940741,0.043950719,0.014400992,0.047498713,0.341344462,0.036036822,-0.11720027
1.835008333,-0.051916665,-0.009999087,-0.039869066,0.015014908,0.045126745,0.095964807,0.034590713,-0.145505491
1.862816667,-0.053419805,-0.010792539,-0.009588158,0.01350809,0.043186559,-0.004378057,0.033545504,-0.173550691
1.890611111,-0.0469365,-0.011891675,0.036640474,0.007352774,0.040368668,-0.091692361,0.009400743,-0.170085288
1.918422222,-0.045572771,-0.010106904,-0.019694988,0.00701144,0.045308643,0.154129379,0.009368406,-0.130997897
1.946233333,-0.046921993,-0.009098604,-0.017095051,0.003172123,0.04562749,-0.037329617,0.010020702,-0.101239734
1.974019444,-0.043646851,-0.011777141,0.021062877,0.002915086,0.040810749,0.108508264,0.034361127,-0.145124182
2.001822222,-0.047957436,-0.010723206,0.052979601,0.016110554,0.046774686,-0.033673225,0.02401096,-0.172355774
2.029608333,-0.036744144,-0.009281411,0.123608171,0.013081946,0.043415825,0.065413643,0.035996353,-0.176401806
2.057419444,-0.045701367,-0.012720707,0.028008503,0.018319218,0.044333538,-0.065057118,0.03438017,-0.155356291
