Time,M0-1,M1-1,M2-1,M3-1,M4-1,M5-1,M6-1,M7-1,M0-2,M1-2,M2-2,M3-2,M4-2,M5-2,M6-2,M7-2
0,0.046737559,0.094520948,0.130448242,0.067920752,0.201538605,0.130785395,0.108704867,0.142507691,-0.030642672,-0.145015776,0.088684717,-0.042158699,0.006197698,0.172734093,0.034424696,0.003085337
0.027797222,0.095478323,-0.115462978,0.119526123,0.101940206,0.037390246,0.195780906,0.118503755,0.002768396,-0.0692422,-0.103365375,0.096972606,-0.075014108,0.082728384,0.142818145,0.124497502,0.071573483
0.055602778,0.080578754,-0.09393714,0.063392355,0.002210726,0.075293338,0.194783509,0.129177965,0.065009093,0.003624277,-0.081812892,0.071809436,-0.021490198,0.023116978,0.19971538,0.129873253,0.023703453
0.083408333,0.07834463,-0.036060708,0.177182997,0.012031613,0.037038746,0.191021988,0.132184966,0.125141708,0.009141724,-0.029805347,0.075162242,-0.035154536,0.006617135,0.184778743,0.115060905,0.02509427
0.1112,0.09987095,-0.077986972,0.107426187,0.013614388,0.106399773,0.208677854,0.137736855,0.116019458,0.015035049,0.149300482,0.081066322,0.055120539,-0.005855592,0.205579904,0.136799352,0.039690093
0.139005556,0.091130929,-0.131435283,0.093546547,0.000487008,0.020176776,0.179609486,0.135763596,0.07652783,-0.057694731,0.081724602,0.08680451,0.007353072,-0.022508297,0.163781204,0.122793891,0.064397083
0.166811111,0.082363586,-0.04085551,0.03233459,0.007238304,0.00949801,0.144684059,0.138714355,0.021367187,-0.072773405,0.019340112,0.102231498,-0.04200744,-0.026999449,0.172346047,0.131276225,0.07534748
0.194608333,0.092932719,-0.078117898,0.159295261,0.004475428,0.051555384,0.128546791,0.131414054,0.009911768,-0.048320913,0.057990671,0.078293665,-0.042209461,-0.057705118,0.160510545,0.130419597,0.06166895
0.222402778,0.091056286,-0.047786745,0.078882753,-0.047979716,-0.003522209,0.114600474,0.133346468,0.111617417,0.032440925,-0.012922163,0.078178075,0.052937725,0.039274679,0.137477543,0.138079126,0.058915239
0.250191667,0.094560227,-0.038710744,0.103782229,-0.043953917,-0.011463279,0.139541803,0.13788554,0.052342789,0.053263147,0.09264236,0.101730524,-0.002693079,0.018943236,0.112139435,0.143464654,0.050402501
0.277988889,0.086695005,-0.076563324,0.131216437,-0.053406393,0.030184084,0.130127714,0.127738914,0.059214037,0.074613009,0.030011734,0.069740961,-0.041937037,-0.018337472,0.195191462,0.13544003,0.059745194
0.305786111,0.090786026,-0.062344633,0.109220213,-0.044912949,0.042200924,0.141781889,0.128803233,0.126867434,0.014507067,-0.075865409,0.0789217,0.011362978,-0.019893898,0.182231659,0.1461476,0.074433611
0.333583333,0.100351528,-0.09101198,0.087660768,-0.013167474,0.024109542,0.148856366,0.131435813,0.091983964,0.056810369,-0.054031568,0.076912441,0.006006786,-0.056826076,0.081490976,0.106163508,0.02535551
0.361383333,0.089682652,-0.110264867,0.075429482,0.021495844,0.005368494,0.125914448,0.121913713,0.081807034,0.023913789,0.088818711,0.087815463,-0.04803639,-0.065575465,0.119308019,0.101908582,0.019891199
0.389183333,0.112312068,0.011414627,0.094193278,-4.66002E-05,0.000895127,0.142177862,0.134664411,0.080152816,0.053826958,-0.10047439,0.075544083,-0.017078358,-0.038219779,0.096379938,0.123196481,0.033302507
0.416991667,0.095403387,-0.027524388,0.061983612,0.031575028,0.010737918,0.12834249,0.139698216,0.050295576,0.003061652,-0.084456078,0.085082391,-0.068641026,-0.00833189,0.090402781,0.119459926,0.067651542
0.444802778,0.104110714,-0.036703922,0.177810856,0.036433909,0.000316794,0.136282518,0.134106904,0.025095071,0.05279677,-0.090472232,0.077803609,0.039231808,-0.013383937,0.137290757,0.140155201,0.051047998
0.4726,0.096797204,-0.006514563,0.121282307,0.006830445,0.018109361,0.131795654,0.134105154,0.097996447,0.0162847,-0.082394265,0.057808851,-0.019246192,-0.006471036,0.129687574,0.116844963,0.033811996
0.500391667,0.10052296,-0.045834958,0.289070884,-0.008957366,0.065426797,0.133688614,0.1244974,0.075428202,0.031479345,-0.103880467,0.064412972,-0.008738255,0.002612263,0.110385467,0.115705672,0.026458973
0.5282,0.082337325,-0.0879007,0.106218035,0.003238518,0.076586765,0.131064125,0.124689729,0.043147582,0.009352964,-0.05197114,0.069194554,0.084282216,0.003983052,0.106360864,0.120905505,0.03963899
0.556011111,0.082390868,-0.045479623,0.057430641,0.001408757,0.066144118,0.149806038,0.135450413,0.125686734,-0.075731236,-0.055293361,0.079390708,-0.054409479,-0.028678564,0.08193172,0.13868921,0.066439614
0.583808333,0.099258595,-0.08536954,0.067128949,-0.011582135,0.026319621,0.141660516,0.129854579,0.043003589,0.07344161,-0.020426639,0.068444082,-0.021564211,0.031406027,0.072851277,0.117462194,0.0476783
0.611613889,0.092394506,-0.033564238,0.153371729,0.02328526,0.022304285,0.154493484,0.131049764,0.074448031,-0.018919736,-0.047443055,0.082310699,-0.045056194,0.01629943,0.114511211,0.119174649,0.030015258
0.639408333,0.089328545,-0.088810638,0.14334669,-0.014833868,0.047918704,0.146600127,0.119971497,0.062218344,-0.017731488,-0.070326783,0.058945843,-0.073841627,0.005922552,0.111024024,0.133623302,0.028801745
0.667219444,0.081666263,-0.054354904,0.11797096,0.011766486,0.051456372,0.144882182,0.136334573,0.043230221,-0.012313208,-0.076181719,0.075825938,0.010850209,0.018263999,0.1296867,0.104725922,0.026885887
0.695025,0.076969277,-0.037820129,0.112480675,-0.005263458,0.057226445,0.155148355,0.121931326,0.067212076,-0.034566106,-0.092128706,0.084914814,-0.005544863,-0.037121828,0.097646745,0.125019619,0.034526456
0.722816667,0.080197191,-0.047670789,0.139753855,0.039298198,0.01168194,0.15612586,0.129426782,0.149620749,-0.052285768,-0.054299327,0.0709304,-0.149672626,-0.071004063,0.103228044,0.115614948,0.049896409
0.750613889,0.077654427,-0.061914276,0.120184262,0.005301774,0.060086177,0.131970807,0.129374627,0.056078287,0.013098324,-0.068888702,0.070832989,0.019741584,-0.05798373,0.088957644,0.077242157,0.031046423
0.778411111,0.103330821,-0.093717888,0.106077701,-0.017874438,-0.003299841,0.148224326,0.130777518,0.110055704,0.031876908,-0.052260627,0.056500659,-0.085282525,0.009789957,0.163408005,0.104445778,0.021919138
0.8062,0.084136993,-0.07594013,0.116066168,0.006078072,0.059654185,0.151198358,0.146789795,0.092959478,0.012131733,-0.111150326,0.072157115,-0.017090995,0.024634781,0.074423307,0.119926557,0.038856408
0.834005556,0.115157418,-0.085431844,0.137028369,0.018608147,0.009249266,0.151528169,0.133172164,0.089945045,-0.056008615,-0.098239585,0.063576437,-0.059482141,0.016342003,0.150300527,0.111734498,0.057933856
0.861797222,0.1015416,-0.068997295,0.10683201,-0.006316046,0.053565577,0.138037655,0.135153927,0.073337912,-0.031588576,-0.074978542,0.074075603,-0.110885596,0.031081915,0.167523319,0.115516018,0.085977257
0.889602778,0.085167673,-0.077469912,0.141763897,0.022180227,0.047941385,0.143790268,0.132524464,0.081181607,0.011679343,0.079584352,0.082555865,-0.006586617,0.052762839,0.203840584,0.10985581,0.047043908
0.917394444,0.092974451,-0.076477229,0.094366465,0.003665676,0.0018453,0.135156869,0.131446835,0.149934125,0.06332086,-0.037700033,0.062013365,0.009295386,0.000626659,0.198407003,0.102278917,0.055925455
0.945197222,0.13218031,-0.078992184,0.093945116,-0.023202421,0.00917866,0.14134286,0.13670961,-0.016941083,-0.020590994,-0.000751944,0.07913329,-0.048768937,-0.018304986,0.249541383,0.10559993,0.047590304
0.972997222,0.088933372,-0.072135777,0.13717659,0.014601444,-0.002626398,0.160928571,0.132455233,0.115143936,0.000545255,-0.077611346,0.084954593,-0.046887955,0.0056173,0.140113782,0.105592395,0.045644729
1.000788889,0.114062469,-0.093561409,0.430203461,-0.00206292,0.000855549,0.16648016,0.130934282,0.074461487,-0.019441313,-0.046370107,0.085190946,0.184387043,0.028520967,0.167486916,0.116754352,0.04099506
1.0286,0.114488456,-0.052287386,0.089044901,0.009436811,0.016217436,0.140093907,0.134496999,0.067335794,-0.041806135,-0.11308007,0.074781796,-0.018891464,-0.038293002,0.19581988,0.10218238,0.011098352
1.056408333,0.12937462,-0.051139255,0.091628298,-0.002935808,-0.006770693,0.139822896,0.137240088,0.106420789,0.018194901,-0.130746768,0.063551381,0.018909139,-0.047638,0.132040819,0.106864554,0.028633938
1.0842,0.098902439,-0.055186155,0.084005042,0.020573469,0.01081935,0.154407055,0.14330171,0.040357038,0.024752422,-0.017832764,0.08276292,-0.022727362,-0.035437592,0.122985413,0.097701476,0.008133933
1.112011111,0.110891503,-0.028913004,-0.000211676,0.010771038,-0.004331859,0.137003677,0.131244726,0.108288678,-0.008900598,-0.076275143,0.055375425,-0.028534528,-0.0393609,0.110203784,0.109312034,0.089784885
1.139802778,0.096757293,-0.068321809,0.058299271,-0.057237307,0.029441503,0.13105134,0.144282133,0.104555552,-0.00510011,-0.008065959,0.07115988,-0.070405336,-0.037277917,0.158887038,0.108449727,-0.015138131
1.167605556,0.138155503,-0.037017865,0.079918763,-0.018670787,0.020170111,0.140389056,0.137001646,0.081783464,-0.019366446,0.059976807,0.062143883,-0.036767246,0.005757882,0.193013481,0.136272942,0.078207275
1.195413889,0.108519029,-0.028239388,0.136289581,0.002359826,-0.008861029,0.132662228,0.146274828,0.009444863,0.013242123,-0.080801046,0.076247256,0.02886191,0.003200813,0.135784373,0.118195972,0.037793095
1.223222222,0.111888656,-0.033896847,0.088584121,0.012282398,0.006662756,0.135630339,0.132508023,0.127197668,0.063648047,-0.058346264,0.076662735,-0.0044303,0.024745397,0.135255251,0.10038263,0.052701675
1.251027778,0.152001745,-0.058004483,0.096547365,0.00568783,0.07006757,0.142799381,0.142484201,0.05287585,0.010630893,-0.028292948,0.078357209,0.014629416,0.005415,0.071557687,0.121721209,0.036031212
1.278822222,0.140054372,-0.063296616,0.113303706,-0.002664449,0.086291791,0.135237013,0.132118615,0.121786676,-0.006322234,-0.019445344,0.102143916,0.054139912,-0.053012296,0.195449315,0.106561207,0.046203911
1.306630556,0.13815788,-0.039235967,0.090629715,-0.000398307,0.014309428,0.131416934,0.135542226,0.132401493,-0.028075619,0.068812924,0.09204333,0.028675638,0.028135829,0.193771915,0.100669987,0.053944082
1.334419444,0.120806901,-0.065845996,0.105857679,0.000195703,0.047863977,0.14135224,0.126595249,0.144097211,-0.003275041,-0.107956428,0.087271721,-0.034210299,0.012075574,0.217341,0.10059328,0.050013063
