Time,M0,M1,M2,M3,M4,M5,M6,M7
5.28E-05,-0.019235707,0.044896334,0.109411591,-0.051149611,0.050284115,0.077153446,0.054708268,-0.022194105
0.027861111,-0.217167684,0.097688853,0.062472779,-0.038814019,0.020720268,0.056369118,0.098536903,-0.012473277
0.055655556,0.229543291,0.074558589,0.044173153,-0.05190919,-0.060128236,0.07117434,0.117945596,0.020508641
0.08345,0.139760098,0.03924531,0.037881321,-0.072635057,0.066723455,0.085293063,0.069471468,0.066786419
0.111258333,-0.102462896,0.063504124,0.078228574,-0.050155441,0.021473774,0.134359493,0.066188587,0.004424682
0.139044444,-0.138128571,0.042311619,0.053958328,-0.048127833,-0.029386552,0.136204565,0.061423895,0.046801664
0.166855556,0.131072378,0.056186679,0.062919347,-0.006920912,-0.069124422,0.148601071,0.070289561,0.034136103
0.194663889,0.055061355,0.021885156,0.006159715,-0.061649318,-0.026267396,0.131370205,0.064977135,0.010039499
0.222455556,-0.053719896,0.057725454,0.132063258,-0.061376026,-0.034974054,0.029456858,0.047213603,-0.007864533
0.250266667,0.099095549,0.02087071,0.133185377,-0.022256718,-0.022776384,0.10782714,0.048987424,-0.030010021
0.278063889,-0.022514921,0.019651067,0.031433783,-0.097577116,0.00699778,0.048652135,0.042754173,-0.004898341
0.305872222,-0.10126593,0.054571907,0.011552896,-0.028906565,-0.017671909,0.191896472,0.063919218,-0.011717722
0.333661111,0.020543422,0.05265026,0.021366944,-0.039032118,-0.000351397,0.076061646,0.046790992,-0.005502068
0.361469444,0.240940887,0.021514319,-0.11861584,-0.062201189,-0.062717449,0.070086124,0.060875407,-0.016754366
0.389263889,0.112824493,0.016651795,0.079453048,-0.043993937,-0.027486193,0.05802777,0.063066825,0.00862884
0.41705,-0.079796275,0.039649555,0.587148905,-0.011602081,-0.040601432,0.111508041,0.024629751,0.064055812
0.44485,-0.008262387,0.033867048,-0.123254133,-0.01491099,-0.012118022,0.114256039,0.027955537,0.026170557
0.472647222,0.006243629,0.04456842,0.032932698,-0.064792941,-0.007041401,0.061352977,0.038096651,-0.008556955
0.50045,0.048295656,0.031558175,0.046297751,-0.056444684,-0.039648317,0.085170952,0.075828157,-0.026447236
0.528238889,0.041428501,0.010876645,0.016472922,-0.013493265,-0.022485628,0.037825378,0.01256925,0.043253797
0.556047222,0.000438433,0.038908804,0.178965283,-0.046305558,-0.024768153,0.018263046,0.00900209,0.016221156
