Time,M0-1,M1-1,M2-1,M3-1,M4-1,M5-1,M6-1,M7-1,,,,
5.28E-05,-0.003858563,-0.069071691,0.109499369,-0.073391501,0.199331567,0.109079705,0.140077462,0.005404777,,,,
0.027861111,0.016031991,-0.136128968,0.098348412,-0.020478785,0.096721757,0.098762518,0.091998253,0.085328761,,,,
0.055661111,-0.00313531,-0.059199519,0.088102235,0.025266693,0.228027803,0.082400073,0.135558512,0.011369713,,,,
0.083458333,0.012497719,-0.093195539,0.099616559,0.012609465,0.004110458,0.10353562,0.083586452,0.001463889,,,,
0.111269444,0.041158275,-0.108385323,0.104745157,-0.022848197,0.135479856,0.121776792,0.082049671,-0.038486945,,,,
0.139061111,0.028962235,-0.040288931,0.082078305,-0.025285374,0.099073485,0.104350537,0.07442591,0.013093487,,,,
0.166847222,0.037192026,-0.013342792,0.091012825,-0.009819423,0.199824458,0.147762263,0.074012779,0.005864553,,,,
0.194658333,0.053443346,0.013147335,0.092941108,-0.05618975,0.23589324,0.146850068,0.10076375,0.027567502,,,,
0.22245,0.036084793,-0.062924888,0.101012783,-0.04205082,0.186462355,0.143744814,0.102194932,0.045032673,,,,
0.250261111,0.07404321,-0.078362915,0.093924414,-0.08654532,0.141419936,0.150525964,0.104757006,0.034331852,,,,
0.278047222,0.064979119,-0.006490656,0.09319742,0.005030473,0.140389423,0.131152592,0.06400026,-0.183648899,,,,
0.305855556,0.068020082,0.052392218,0.11367707,-0.024077647,0.178712943,0.144156661,0.096499927,0.037512412,,,,
0.333666667,0.039950098,0.069316356,0.125041988,0.000124113,0.18570785,0.159023554,0.082448824,0.080201996,,,,
0.361463889,0.054075622,0.029880076,0.120286574,-0.040584578,0.156958881,0.13869194,0.085335825,0.180894021,,,,
0.389255556,0.068748858,-0.040685659,0.100240573,0.006397444,0.162824919,0.148494637,0.068069367,0.000197144,,,,
0.417041667,0.062290326,0.021886383,0.071276668,-0.115009739,0.133990884,0.140144438,0.046107003,-0.001307409,,,,
0.44485,0.060836443,0.011681374,0.096015606,-0.081191912,0.191371591,0.150958039,0.048055815,-0.086263212,,,,
0.472644444,0.062056047,-0.011161615,0.084817244,-0.051097477,0.176466618,0.158294223,0.057091773,0.147368122,,,,
0.500447222,0.05526781,0.09111964,0.101469311,-0.01848316,0.256711588,0.16676842,0.059776014,0.258547735,,,,
0.528236111,0.042846032,-0.015823008,0.103620711,0.053663918,0.200200258,0.168091362,0.053097243,-0.033101062,,,,
0.556033333,0.025166567,-0.01122707,0.103867,-0.039114551,0.209094339,0.155831661,0.07760196,0.020738541,,,,
0.583844444,0.047432959,-0.141325995,0.079304418,0.059534412,0.20339176,0.159710494,0.104577961,0.038390223,,,,
0.611652778,0.043809491,-0.157197996,0.079949673,-0.097668289,0.133419825,0.169217039,0.044619014,0.097109631,,,,
0.639447222,0.036757365,-0.111949433,0.10306956,0.054912717,0.185524197,0.162444785,0.044365538,0.052348671,,,,
0.667255556,0.048904727,-0.152236259,0.114201635,-0.092705647,0.046400518,0.165898174,0.10659116,0.062376979,,,,
0.695066667,0.03959747,-0.10867942,0.085941608,-0.03457422,0.356508194,0.166785807,0.071861503,0.049964445,,,,
0.722863889,0.04847709,-0.064183273,0.12019793,-0.042002428,0.292862451,0.175627867,0.111685351,-0.008145924,,,,
0.750675,0.061774733,-0.10844638,0.108153388,-0.097151932,0.006721542,0.137160546,0.089181359,0.046668173,,,,
0.778463889,0.046983794,-0.103547715,0.096436381,0.057468474,0.216843217,0.172178011,0.09496926,0.008022547,,,,
0.806275,0.053850108,-0.131829761,0.097059929,-0.030924267,0.26932273,0.141019987,0.075158451,-0.019654989,,,,
0.834077778,0.042859825,-0.1815374,0.107213754,-0.049123074,0.213334112,0.164219246,0.044732708,0.071400479,,,,
0.861869444,0.057332875,-0.102665787,0.112675636,-0.020252268,0.179534416,0.181286607,0.048518009,-0.002847397,,,,
0.889663889,0.030731191,-0.103352726,0.10454544,-0.041920523,0.165599188,0.176613881,0.069410027,0.031511453,,,,
0.917461111,0.02082032,-0.013745522,0.098185891,-0.02380511,0.187684224,0.173950932,0.071506867,0.069327221,,,,
0.945272222,0.008709476,-0.120098579,0.082790111,-0.050952257,0.224396795,0.161962046,0.08812063,0.062024176,,,,
0.973080556,0.031436787,-0.120689022,0.096366497,-0.031028364,0.24812775,0.169213487,0.115576731,0.053566976,,,,
1.000891667,0.028641469,-0.103392407,0.097553018,-0.062333645,0.075251997,0.156534743,0.113591142,0.032939009,,,,
1.028694444,0.008323166,-0.137283713,0.137502653,-0.045593016,0.253559793,0.1550695,0.074277542,0.139149575,,,,
1.056502778,0.013684621,-0.098363485,0.173012984,-0.082592068,0.206611399,0.181677555,0.074705113,0.089824502,,,,
1.084302778,0.02869901,0.009291593,0.115011456,-0.078401318,0.317653268,0.17483793,0.077055575,0.01031353,,,,
1.112111111,0.044612069,-0.021580566,0.091289976,-0.03681091,0.231173212,0.173272946,0.061012478,0.00500795,,,,
1.139916667,0.05165632,-0.076495161,0.131901243,-0.02996752,0.119041234,0.149733489,0.081722194,-0.024263069,,,,
1.167702778,0.016906708,-0.098575026,0.107379619,-0.05137371,0.111522983,0.128413901,0.062491652,0.00902083,,,,
1.195505556,0.047116568,-0.142778988,0.150129094,-0.049106066,0.187163092,0.180771074,0.103533207,-0.015888734,,,,
1.223302778,0.032366036,-0.045740192,0.113889249,-0.028944105,0.140532712,0.159193911,0.106144786,-0.007109785,,,,
1.251113889,0.037694312,0.010259167,0.107920843,-0.015814355,0.204484207,0.178470019,0.112881472,0.021129576,,,,
1.278916667,0.053126204,-0.019079683,0.131139172,-0.005842063,0.135108333,0.163112866,0.077582436,0.041017824,,,,
1.306725,0.047166817,-0.117784225,0.109309434,-0.039605888,0.128263539,0.184362112,0.07598337,0.007866118,,,,
1.334525,0.049372838,-0.152111449,0.089528973,-0.03202354,0.148642674,0.173028858,0.092260661,0.029784408,,,,
1.362327778,0.05395582,-0.052192007,0.040825803,-0.048952345,0.130184427,0.180705619,0.122023835,0.221970098,,,,
1.390127778,0.042136546,-0.135085257,0.065486086,-0.009497558,0.15816008,0.163325284,0.089326399,0.207848448,,,,
1.417930556,0.036882939,-0.083597033,0.103737935,-0.00637391,0.205907034,0.170872165,0.078653868,-0.064051705,,,,
1.445738889,0.045943681,0.002380073,0.098041564,-0.052770369,0.165408488,0.18607718,0.109973912,0.023239317,,,,
1.473544444,0.031518445,-0.109561216,0.099512499,-0.051752509,0.101280581,0.19130606,0.122233621,-0.002708399,,,,
1.50135,0.045782817,-0.027801608,0.121410659,0.005567104,0.173800091,0.163044936,0.137523177,-0.005047646,,,,
1.529161111,0.03718228,0.06945249,0.091882956,-0.055681948,0.184078944,0.134255548,0.087865979,-0.006465377,,,,
1.556969444,0.040384031,-0.11073422,0.099259211,-0.052485034,0.176375671,0.167921951,0.102562702,0.019077439,,,,
1.584780556,0.023792107,-0.019135201,0.074468821,-0.053542919,0.175499044,0.184683398,0.099594223,-0.007512659,,,,
1.612580556,0.045504711,-0.04694844,0.109731039,-0.025338202,0.188469055,0.179264637,0.114051855,0.022753139,,,,
1.640391667,0.029295394,0.023677369,0.09710938,-0.008626683,0.175575097,0.140855975,0.067902223,0.00471153,,,,
1.668183333,0.038297297,-0.131740692,0.102665707,-0.051975009,0.181537859,0.127618968,0.148734021,0.000854953,,,,
1.695994444,0.016545426,0.041549356,0.109237153,-0.078039906,0.159946895,0.153648271,0.065902367,0.001557094,,,,
1.723805556,0.050305918,-0.022235403,0.108246865,-0.024586323,0.167589118,0.177786739,0.125673022,0.009130608,,,,
1.751597222,0.034527496,-0.10146855,0.1055638,-0.066172404,0.175336939,0.15472106,0.135182507,0.014131899,,,,
1.779408333,0.043577689,-0.13834177,0.100648315,-0.041731062,0.178594378,0.134445811,0.129940877,0.018751132,,,,
1.807197222,0.046491006,-0.153868612,0.094794868,-0.056472865,0.179599159,0.156361693,0.100420039,0.01600743,,,,
